CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L82109DL2018PTC871897,CONSTRUCTIONS OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,17/02/2018,14613021,8230177,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Anna Salai, Borivali, Delhi - 502579",ROC-DELHI
L98984DL2012OPC550252,CHEMICALS PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,31/03/2012,38045254,1721672,Active,COMPUTER PROGRAMMING,"D-404, Link Road, Andheri, Delhi - 537370",ROC-DELHI
L89576DL2000PLC805334,TECH LIMITED,One Person Company,Company limited by guarantee,Non-govt company,30/12/2000,44740550,1596909,Active,CONSTRUCTION,"C-303, Link Road, Andheri, Delhi - 415534",ROC-DELHI
U14188DL2022PLC817642,INTERNATIONAL OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,06/07/2022,25116840,1791314,Active,EDUCATION,"A-101, Brigade Road, Satellite, Delhi - 527770",ROC-DELHI
L11758DL2022PLC195418,VENTURES CONSULTANCY TEXTILES LIMITED,One Person Company,Company limited by shares,State Govt company,14/02/2022,28988431,4046805,Under Liquidation,MANUFACTURING (TEXTILES),"C-303, Link Road, Adyar, Delhi - 422061",ROC-DELHI
L65176DL2013PLC718579,GLOBAL INTERNATIONAL OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,17/05/2013,25121933,7899588,Under Liquidation,RETAIL TRADE,"D-404, MG Road, Whitefield, Delhi - 554612",ROC-DELHI
L54582DL2004PLC902819,EDUCATION PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,20/06/2004,2172641,14018142,Dissolved,FINANCIAL SERVICE ACTIVITIES,"E-505, Anna Salai, Borivali, Delhi - 510719",ROC-DELHI
U17577DL2023OPC849278,EDUCATION EXPORTS CHEMICALS LIMITED,Private,Company limited by shares,State Govt company,19/11/2023,18361317,17067457,Strike Off,EDUCATION,"A-101, Brigade Road, Adyar, Delhi - 495281",ROC-DELHI
U96248DL2004OPC969046,FOODS TECH CONSTRUCTIONS PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,02/05/2004,34772685,7577107,Strike Off,FINANCIAL SERVICE ACTIVITIES,"A-101, Link Road, Andheri, Delhi - 550541",ROC-DELHI
U57120DL2012PLC532328,INVESTMENTS OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,18/05/2012,11041871,3826826,Under Liquidation,COMPUTER PROGRAMMING,"E-505, Link Road, Borivali, Delhi - 469485",ROC-DELHI
L22391DL2015PLC298938,MANUFACTURING LIMITED,One Person Company,Company limited by guarantee,Non-govt company,25/08/2015,14651946,24111858,Under Liquidation,WHOLESALE TRADE,"D-404, Park Street, Borivali, Delhi - 541824",ROC-DELHI
L30114DL2004PTC266525,IMPORTS VENTURES INDIA PRIVATE LIMITED,Public,Unlimited Company,State Govt company,10/04/2004,22425736,24040262,Active,INFORMATION SERVICE ACTIVITIES,"C-303, Link Road, Borivali, Delhi - 491508",ROC-DELHI
U70030DL2020PLC861904,DEVELOPERS PHARMA OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,05/09/2020,42727975,2373556,Under Liquidation,WHOLESALE TRADE,"E-505, Park Street, Whitefield, Delhi - 507440",ROC-DELHI
L43607DL2005PLC425034,SOLUTIONS LIMITED,Public,Company limited by guarantee,State Govt company,01/12/2005,36707720,13901362,Amalgamated,MANUFACTURING (CHEMICALS),"B-202, Brigade Road, Adyar, Delhi - 484388",ROC-DELHI
U33271DL2006PTC195471,VENTURES SYSTEMS SERVICES LIMITED,Public,Company limited by shares,Non-govt company,14/05/2006,42680601,17405256,Active,FINANCIAL SERVICE ACTIVITIES,"A-101, MG Road, Andheri, Delhi - 430166",ROC-DELHI
U96739DL2012PTC264832,CONSTRUCTIONS TECH REALTY PRIVATE LIMITED,Private,Company limited by shares,State Govt company,09/04/2012,43070454,13885307,Active,FINANCIAL SERVICE ACTIVITIES,"B-202, Brigade Road, Borivali, Delhi - 487015",ROC-DELHI
U92624DL2015PTC624676,TECHNOLOGIES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,17/12/2015,16299481,2776199,Strike Off,ACCOMMODATION AND FOOD SERVICE,"C-303, MG Road, Adyar, Delhi - 549575",ROC-DELHI
U69921DL2007OPC354346,INTERNATIONAL OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,08/07/2007,14700889,23394428,Amalgamated,REAL ESTATE ACTIVITIES,"A-101, Park Street, Satellite, Delhi - 444877",ROC-DELHI
U95468DL2019PLC370951,INVESTMENTS OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,15/10/2019,23677087,18995336,Amalgamated,COMPUTER PROGRAMMING,"E-505, Link Road, Whitefield, Delhi - 544430",ROC-DELHI
U61698DL2016PTC330458,EXPORTS CONSTRUCTIONS CONSULTANCY PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,29/02/2016,48238918,17406426,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"D-404, Park Street, Satellite, Delhi - 501241",ROC-DELHI
L70752DL2004PLC980905,SYSTEMS FINANCE PRIVATE LIMITED,Private,Unlimited Company,State Govt company,18/10/2004,23375795,14255717,Under Liquidation,MANUFACTURING (CHEMICALS),"D-404, Park Street, Borivali, Delhi - 480705",ROC-DELHI
U46157DL2024PTC591731,VENTURES SYSTEMS OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,09/10/2024,6404947,23826679,Amalgamated,REAL ESTATE ACTIVITIES,"D-404, Park Street, Borivali, Delhi - 528061",ROC-DELHI
L97110DL2020PTC658261,DEVELOPERS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,22/11/2020,21395421,19084928,Strike Off,COMPUTER PROGRAMMING,"A-101, Anna Salai, Andheri, Delhi - 495535",ROC-DELHI
U47260DL2018OPC620110,FINANCE LIMITED,Public,Company limited by guarantee,State Govt company,02/11/2018,47860327,8689446,Strike Off,EDUCATION,"D-404, Link Road, Adyar, Delhi - 425163",ROC-DELHI
L58434DL2018PTC634494,TEXTILES SOLUTIONS OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,02/11/2018,22930565,8324502,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Brigade Road, Satellite, Delhi - 463879",ROC-DELHI
L22951DL2021PLC857572,INNOVATIONS VENTURES LIMITED,Public,Company limited by guarantee,Non-govt company,03/04/2021,26701686,10840667,Dissolved,REAL ESTATE ACTIVITIES,"C-303, Link Road, Adyar, Delhi - 457630",ROC-DELHI
U24121DL2023PTC298733,INVESTMENTS IMPORTS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,28/06/2023,41967174,11921806,Under Liquidation,EDUCATION,"D-404, Brigade Road, Andheri, Delhi - 414637",ROC-DELHI
U96513DL2011PTC709882,PHARMA TEXTILES CAPITAL PRIVATE LIMITED,Public,Company limited by shares,State Govt company,12/03/2011,20527747,11395101,Active,FINANCIAL SERVICE ACTIVITIES,"D-404, Park Street, Adyar, Delhi - 403222",ROC-DELHI
L85361DL2017OPC506673,CHEMICALS TECHNOLOGIES OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,21/04/2017,20701935,20197367,Dissolved,WHOLESALE TRADE,"D-404, Link Road, Satellite, Delhi - 443085",ROC-DELHI
U47891DL2009PTC476873,REALTY SOLUTIONS CAPITAL PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,19/09/2009,17947243,12905441,Strike Off,COMPUTER PROGRAMMING,"C-303, Brigade Road, Satellite, Delhi - 448808",ROC-DELHI
L26891DL2006OPC534714,SYSTEMS TECH PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,23/11/2006,19523939,2522912,Dissolved,WHOLESALE TRADE,"C-303, Brigade Road, Adyar, Delhi - 497027",ROC-DELHI
L58068DL2002PLC652569,CAPITAL FINANCE LIMITED,One Person Company,Company limited by guarantee,State Govt company,28/10/2002,39191068,4133110,Active,INFORMATION SERVICE ACTIVITIES,"A-101, MG Road, Satellite, Delhi - 468325",ROC-DELHI
L99774DL2003PTC726067,SERVICES INTERNATIONAL EXPORTS PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,28/11/2003,19557440,24236387,Dissolved,EDUCATION,"D-404, MG Road, Borivali, Delhi - 503437",ROC-DELHI
L51973DL2011PLC239556,DEVELOPERS LIMITED,Public,Company limited by shares,Non-govt company,15/10/2011,47012588,6051143,Dissolved,MANUFACTURING (CHEMICALS),"B-202, Brigade Road, Satellite, Delhi - 492652",ROC-DELHI
U14240DL2022PTC809245,CAPITAL INDIA TRADING OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,25/11/2022,16229414,20473643,Dissolved,MANUFACTURING (TEXTILES),"A-101, Park Street, Satellite, Delhi - 458017",ROC-DELHI
L37622DL2016PLC548490,SERVICES PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,04/07/2016,47887709,19394419,Strike Off,INFORMATION SERVICE ACTIVITIES,"D-404, Anna Salai, Borivali, Delhi - 456132",ROC-DELHI
L48902DL2013PTC926755,TECHNOLOGIES TEXTILES INTERNATIONAL LIMITED,One Person Company,Unlimited Company,Non-govt company,11/03/2013,8245764,16960106,Active,RETAIL TRADE,"D-404, Link Road, Satellite, Delhi - 436378",ROC-DELHI
U51894DL2010PTC485949,TRADING FOODS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,19/04/2010,18582710,14055199,Strike Off,CONSTRUCTION,"B-202, Anna Salai, Whitefield, Delhi - 428335",ROC-DELHI
U35347DL2000OPC623713,CORPORATIONS REALTY PRIVATE LIMITED,Public,Company limited by shares,State Govt company,07/02/2000,574585,22056656,Active,CONSTRUCTION,"D-404, Park Street, Whitefield, Delhi - 445840",ROC-DELHI
L44398DL2006PLC658879,VENTURES PRIVATE LIMITED,Private,Company limited by shares,State Govt company,05/06/2006,22727842,3257434,Active,RETAIL TRADE,"E-505, Park Street, Borivali, Delhi - 521501",ROC-DELHI
L66723DL2011OPC254944,INDIA CHEMICALS OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,01/01/2011,49881540,13978182,Active,MANUFACTURING (TEXTILES),"C-303, Link Road, Adyar, Delhi - 428249",ROC-DELHI
L49338DL2006OPC394791,SYSTEMS PHARMA LIMITED,Public,Unlimited Company,Non-govt company,16/12/2006,5651448,11816513,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"D-404, Anna Salai, Satellite, Delhi - 511689",ROC-DELHI
L46844DL2024PTC267715,HEALTHCARE CONSTRUCTIONS INVESTMENTS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,22/10/2024,34356394,20311539,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Link Road, Adyar, Delhi - 529730",ROC-DELHI
U61175DL2014PLC476335,EXPORTS GLOBAL PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,26/05/2014,15630253,13082026,Dissolved,FINANCIAL SERVICE ACTIVITIES,"B-202, MG Road, Adyar, Delhi - 403969",ROC-DELHI
L28928DL2019PLC175291,DEVELOPERS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,29/06/2019,36404452,5591165,Active,HUMAN HEALTH AND SOCIAL WORK,"A-101, Brigade Road, Satellite, Delhi - 523713",ROC-DELHI
L81347DL2021PTC821377,GLOBAL CHEMICALS LIMITED,Private,Unlimited Company,Non-govt company,16/09/2021,14091047,16106121,Under Liquidation,REAL ESTATE ACTIVITIES,"A-101, MG Road, Whitefield, Delhi - 424632",ROC-DELHI
U81210DL2009OPC653345,CONSTRUCTIONS EDUCATION PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,09/09/2009,36408539,19503719,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"A-101, Brigade Road, Borivali, Delhi - 412974",ROC-DELHI
U11777DL2012PLC852184,SOLUTIONS TECHNOLOGIES PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,23/04/2012,44271129,13756669,Strike Off,MANUFACTURING (TEXTILES),"A-101, Link Road, Borivali, Delhi - 502982",ROC-DELHI
L12208DL2024PTC961004,MANUFACTURING CHEMICALS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,03/08/2024,35839546,4849559,Dissolved,MANUFACTURING (CHEMICALS),"C-303, Park Street, Borivali, Delhi - 420238",ROC-DELHI
U95054DL2001PLC763152,PHARMA PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,16/12/2001,28658148,14769685,Active,FINANCIAL SERVICE ACTIVITIES,"D-404, Park Street, Borivali, Delhi - 508943",ROC-DELHI
U90531DL2011OPC773719,SOLUTIONS TECH PRIVATE LIMITED,Private,Unlimited Company,State Govt company,06/06/2011,23045552,6728069,Dissolved,MANUFACTURING (CHEMICALS),"D-404, Anna Salai, Borivali, Delhi - 493616",ROC-DELHI
U94064DL2024OPC143677,INTERNATIONAL CORPORATIONS REALTY OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,18/12/2024,30337767,16136592,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"E-505, Anna Salai, Satellite, Delhi - 465464",ROC-DELHI
L66178DL2017PLC925337,TECH INVESTMENTS CORPORATIONS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,12/03/2017,2310097,10702871,Dissolved,MANUFACTURING (CHEMICALS),"C-303, Anna Salai, Borivali, Delhi - 428920",ROC-DELHI
U56207DL2000OPC949032,INDUSTRIES PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,07/10/2000,17527296,23600701,Strike Off,WHOLESALE TRADE,"E-505, Park Street, Borivali, Delhi - 452546",ROC-DELHI
L83048DL2003PLC558121,CONSULTANCY INNOVATIONS CONSTRUCTIONS LIMITED,Private,Company limited by guarantee,Non-govt company,19/09/2003,27634723,15658657,Active,EDUCATION,"D-404, Park Street, Andheri, Delhi - 515854",ROC-DELHI
U53057DL2015OPC513728,EXPORTS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,20/01/2015,17715250,12881912,Amalgamated,MANUFACTURING (CHEMICALS),"B-202, MG Road, Satellite, Delhi - 526826",ROC-DELHI
U18661DL2017PTC263399,INNOVATIONS FOODS TECH LIMITED,Private,Company limited by shares,Non-govt company,18/06/2017,36674644,1984439,Active,WHOLESALE TRADE,"E-505, Park Street, Whitefield, Delhi - 473843",ROC-DELHI
U47732DL2001PTC933002,INTERNATIONAL PRIVATE LIMITED,Private,Unlimited Company,State Govt company,28/12/2001,24862543,8080714,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"B-202, MG Road, Satellite, Delhi - 522843",ROC-DELHI
U22225DL2014OPC296323,CORPORATIONS LIMITED,Private,Unlimited Company,Non-govt company,06/02/2014,44275863,19247269,Active,CONSTRUCTION,"B-202, Park Street, Borivali, Delhi - 447333",ROC-DELHI
U15688DL2004OPC926656,PHARMA LIMITED,One Person Company,Company limited by guarantee,Non-govt company,21/02/2004,31082778,23609990,Under Liquidation,MANUFACTURING (CHEMICALS),"A-101, Link Road, Adyar, Delhi - 478192",ROC-DELHI
U33442DL2004OPC780544,MANUFACTURING PRIVATE LIMITED,Private,Company limited by shares,State Govt company,07/07/2004,43397998,641433,Amalgamated,EDUCATION,"A-101, Anna Salai, Adyar, Delhi - 516833",ROC-DELHI
U38129DL2013PTC479220,CONSTRUCTIONS PHARMA PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,30/03/2013,15903264,22858298,Active,CONSTRUCTION,"B-202, Anna Salai, Satellite, Delhi - 534517",ROC-DELHI
L99269DL2004OPC796593,INDUSTRIES CHEMICALS PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,26/01/2004,39912061,16572928,Amalgamated,WHOLESALE TRADE,"E-505, Link Road, Andheri, Delhi - 499033",ROC-DELHI
L59417DL2003PTC245294,SERVICES LIMITED,One Person Company,Unlimited Company,Non-govt company,01/06/2003,33088227,23643757,Dissolved,COMPUTER PROGRAMMING,"E-505, Brigade Road, Satellite, Delhi - 490498",ROC-DELHI
U67551DL2010OPC198388,FINANCE FOODS PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,27/09/2010,23838290,6631255,Under Liquidation,MANUFACTURING (TEXTILES),"E-505, Brigade Road, Borivali, Delhi - 445837",ROC-DELHI
L91458DL2006PLC787407,ENTERPRISES INVESTMENTS TECHNOLOGIES PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,28/04/2006,26253877,22425687,Dissolved,MANUFACTURING (CHEMICALS),"A-101, Brigade Road, Satellite, Delhi - 558725",ROC-DELHI
L64563DL2017PTC499454,SOLUTIONS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,26/01/2017,28780358,24626343,Amalgamated,EDUCATION,"A-101, MG Road, Andheri, Delhi - 514241",ROC-DELHI
L66318DL2006OPC595837,INDUSTRIES ENTERPRISES CONSULTANCY LIMITED,Private,Company limited by shares,State Govt company,17/09/2006,20914441,8340661,Strike Off,INFORMATION SERVICE ACTIVITIES,"D-404, Brigade Road, Whitefield, Delhi - 412408",ROC-DELHI
U90390DL2014PTC515652,CHEMICALS MANUFACTURING OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,14/04/2014,37176129,10916494,Active,RETAIL TRADE,"B-202, MG Road, Whitefield, Delhi - 464413",ROC-DELHI
L98862DL2002OPC880621,PHARMA CONSULTANCY INDUSTRIES OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,10/04/2002,16284914,10069688,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"E-505, Anna Salai, Satellite, Delhi - 507396",ROC-DELHI
L90392DL2023PLC738120,CONSULTANCY OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,22/03/2023,42067268,4790894,Active,COMPUTER PROGRAMMING,"A-101, Park Street, Whitefield, Delhi - 430792",ROC-DELHI
U76091DL2007OPC385853,EXPORTS INTERNATIONAL TECH OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,13/04/2007,42442442,6887071,Dissolved,MANUFACTURING (CHEMICALS),"D-404, Brigade Road, Adyar, Delhi - 443254",ROC-DELHI
L71257DL2021PTC367930,TECHNOLOGIES FINANCE ENTERPRISES OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,19/02/2021,47224588,4934075,Dissolved,ACCOMMODATION AND FOOD SERVICE,"A-101, Anna Salai, Satellite, Delhi - 492636",ROC-DELHI
L70794DL2007OPC790362,INDUSTRIES FINANCE INTERNATIONAL OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,10/06/2007,12497834,18607815,Under Liquidation,CONSTRUCTION,"C-303, MG Road, Andheri, Delhi - 556572",ROC-DELHI
U17928DL2001PTC439331,CAPITAL LIMITED,One Person Company,Company limited by guarantee,State Govt company,26/04/2001,14898269,9887831,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"C-303, Park Street, Borivali, Delhi - 495298",ROC-DELHI
U15780DL2020PLC798758,TEXTILES SYSTEMS ENTERPRISES OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,24/02/2020,39352175,1851198,Amalgamated,MANUFACTURING (TEXTILES),"A-101, Link Road, Borivali, Delhi - 462045",ROC-DELHI
U90436DL2013PLC544133,SOLUTIONS INTERNATIONAL SERVICES PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,17/10/2013,9321422,4490946,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"A-101, Brigade Road, Adyar, Delhi - 426381",ROC-DELHI
L18361DL2002OPC312386,FINANCE PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,04/12/2002,48583248,13621803,Active,INFORMATION SERVICE ACTIVITIES,"A-101, Brigade Road, Andheri, Delhi - 429012",ROC-DELHI
U96221DL2020PTC955639,TECHNOLOGIES VENTURES SYSTEMS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,13/08/2020,30577746,10360665,Dissolved,MANUFACTURING (FOOD PRODUCTS),"B-202, Brigade Road, Andheri, Delhi - 480907",ROC-DELHI
U81596DL2015PLC920196,SERVICES EDUCATION ENTERPRISES PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,07/09/2015,38803625,164550,Active,REAL ESTATE ACTIVITIES,"C-303, Anna Salai, Andheri, Delhi - 482533",ROC-DELHI
L80693DL2002PLC528298,INVESTMENTS INNOVATIONS LIMITED,Public,Company limited by shares,State Govt company,17/11/2002,43778407,15153319,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, MG Road, Satellite, Delhi - 559660",ROC-DELHI
U17401DL2017OPC882981,DEVELOPERS OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,14/04/2017,43353616,17815375,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, MG Road, Andheri, Delhi - 431360",ROC-DELHI
U57816DL2019OPC408378,SERVICES EDUCATION PHARMA OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,07/12/2019,22238265,24055125,Dissolved,FINANCIAL SERVICE ACTIVITIES,"C-303, MG Road, Adyar, Delhi - 465645",ROC-DELHI
L36919DL2017OPC502788,INDUSTRIES HEALTHCARE LIMITED,Public,Company limited by shares,State Govt company,16/09/2017,19509788,16356453,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Park Street, Whitefield, Delhi - 541628",ROC-DELHI
L45611DL2012PLC203477,HEALTHCARE FINANCE LIMITED,Private,Company limited by shares,Non-govt company,18/01/2012,7329056,17121579,Amalgamated,REAL ESTATE ACTIVITIES,"A-101, MG Road, Whitefield, Delhi - 466330",ROC-DELHI
L98932DL2020PLC291503,INTERNATIONAL TECHNOLOGIES OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,15/10/2020,45852781,5834385,Active,INFORMATION SERVICE ACTIVITIES,"B-202, Park Street, Satellite, Delhi - 414182",ROC-DELHI
U88561DL2010OPC966957,MANUFACTURING IMPORTS EXPORTS LIMITED,Public,Company limited by guarantee,State Govt company,10/07/2010,24412621,18202641,Active,INFORMATION SERVICE ACTIVITIES,"B-202, MG Road, Andheri, Delhi - 443392",ROC-DELHI
U49154DL2013OPC327584,SOLUTIONS TRADING CONSTRUCTIONS LIMITED,Public,Company limited by shares,Non-govt company,06/08/2013,768989,20684395,Active,COMPUTER PROGRAMMING,"C-303, Park Street, Whitefield, Delhi - 556274",ROC-DELHI
