CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L74861TN2012PTC302841,TECH OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,19/12/2012,17263828,7678474,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Park Street, Adyar, Tamil Nadu - 544099",ROC-CHENNAI
U45982TN2012OPC919583,INTERNATIONAL SYSTEMS PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,28/05/2012,603272,17214159,Active,RETAIL TRADE,"D-404, MG Road, Satellite, Tamil Nadu - 482768",ROC-CHENNAI
U44694TN2019OPC350930,FINANCE LIMITED,Public,Company limited by guarantee,State Govt company,18/08/2019,24530015,13173764,Dissolved,COMPUTER PROGRAMMING,"C-303, Park Street, Whitefield, Tamil Nadu - 425608",ROC-CHENNAI
U93421TN2017OPC377143,VENTURES FOODS SYSTEMS OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,04/06/2017,43418994,2550481,Amalgamated,RETAIL TRADE,"A-101, Anna Salai, Satellite, Tamil Nadu - 411941",ROC-CHENNAI
U74128TN2016PLC562162,FINANCE SERVICES OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,02/04/2016,9823394,6400564,Strike Off,ACCOMMODATION AND FOOD SERVICE,"E-505, MG Road, Adyar, Tamil Nadu - 509984",ROC-CHENNAI
U17468TN2014PLC140325,IMPORTS OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,11/11/2014,13224423,7849130,Amalgamated,MANUFACTURING (TEXTILES),"D-404, MG Road, Borivali, Tamil Nadu - 453960",ROC-CHENNAI
U72577TN2010PLC834395,HEALTHCARE PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,03/10/2010,1858244,18766536,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Park Street, Satellite, Tamil Nadu - 454251",ROC-CHENNAI
U79016TN2007PTC555832,FINANCE LIMITED,Public,Company limited by shares,State Govt company,26/01/2007,45015997,11410189,Strike Off,COMPUTER PROGRAMMING,"C-303, Brigade Road, Borivali, Tamil Nadu - 553319",ROC-CHENNAI
L82023TN2024PTC653008,INVESTMENTS SOLUTIONS PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,22/04/2024,17862545,4162648,Strike Off,CONSTRUCTION,"E-505, Park Street, Borivali, Tamil Nadu - 526626",ROC-CHENNAI
U13417TN2002PTC617038,SYSTEMS ENTERPRISES MANUFACTURING OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,29/12/2002,6160682,20424950,Under Liquidation,HUMAN HEALTH AND SOCIAL WORK,"D-404, MG Road, Whitefield, Tamil Nadu - 459471",ROC-CHENNAI
L47976TN2018PLC768236,EXPORTS REALTY IMPORTS OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,31/12/2018,16481520,20111248,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Park Street, Adyar, Tamil Nadu - 488828",ROC-CHENNAI
L22067TN2013OPC385215,IMPORTS PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,20/06/2013,35248451,10741667,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Park Street, Satellite, Tamil Nadu - 471477",ROC-CHENNAI
L23914TN2024PLC353345,REALTY SOLUTIONS LIMITED,Public,Company limited by guarantee,State Govt company,26/11/2024,12344706,8721528,Amalgamated,REAL ESTATE ACTIVITIES,"C-303, Anna Salai, Andheri, Tamil Nadu - 410381",ROC-CHENNAI
U68300TN2017PTC392806,VENTURES TECHNOLOGIES CORPORATIONS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,22/02/2017,27425230,21173698,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, Brigade Road, Borivali, Tamil Nadu - 559775",ROC-CHENNAI
L12268TN2015PLC892071,REALTY FINANCE EDUCATION PRIVATE LIMITED,Public,Unlimited Company,State Govt company,08/08/2015,19779076,2502873,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"B-202, Anna Salai, Satellite, Tamil Nadu - 468395",ROC-CHENNAI
L57451TN2013PLC113149,HEALTHCARE TECHNOLOGIES PRIVATE LIMITED,Private,Company limited by shares,State Govt company,20/06/2013,17692870,16678364,Active,CONSTRUCTION,"A-101, Brigade Road, Adyar, Tamil Nadu - 555831",ROC-CHENNAI
L55866TN2020PTC776307,CONSTRUCTIONS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,09/04/2020,48380884,9929487,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Park Street, Adyar, Tamil Nadu - 475712",ROC-CHENNAI
U88893TN2013PTC633624,CONSULTANCY VENTURES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,20/11/2013,1847526,24111995,Active,FINANCIAL SERVICE ACTIVITIES,"D-404, Anna Salai, Andheri, Tamil Nadu - 421340",ROC-CHENNAI
U73670TN2012PTC560622,CORPORATIONS LIMITED,Private,Company limited by shares,State Govt company,24/12/2012,13654010,7691750,Strike Off,WHOLESALE TRADE,"C-303, MG Road, Adyar, Tamil Nadu - 464004",ROC-CHENNAI
L40675TN2021PLC600004,CAPITAL SYSTEMS PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,27/04/2021,3432175,17643359,Strike Off,CONSTRUCTION,"A-101, Anna Salai, Whitefield, Tamil Nadu - 438597",ROC-CHENNAI
U38499TN2006PTC490158,INDUSTRIES ENTERPRISES LIMITED,One Person Company,Company limited by guarantee,State Govt company,05/07/2006,17093662,19292253,Active,FINANCIAL SERVICE ACTIVITIES,"A-101, Link Road, Borivali, Tamil Nadu - 477322",ROC-CHENNAI
U55658TN2024PTC878913,TECH EXPORTS INVESTMENTS OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,24/02/2024,24228161,10915092,Strike Off,COMPUTER PROGRAMMING,"B-202, Anna Salai, Whitefield, Tamil Nadu - 440686",ROC-CHENNAI
L38474TN2010PLC998021,FOODS CORPORATIONS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,07/03/2010,41463941,23223609,Under Liquidation,RETAIL TRADE,"C-303, Link Road, Whitefield, Tamil Nadu - 514500",ROC-CHENNAI
U21111TN2010PLC687785,INTERNATIONAL INNOVATIONS PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,07/08/2010,21396902,19833300,Amalgamated,MANUFACTURING (TEXTILES),"E-505, Park Street, Satellite, Tamil Nadu - 541006",ROC-CHENNAI
L57851TN2018PTC878774,FOODS OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,27/07/2018,19562941,4637473,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"B-202, Link Road, Andheri, Tamil Nadu - 448398",ROC-CHENNAI
U88031TN2021PTC675998,SOLUTIONS FINANCE TRADING LIMITED,Private,Company limited by guarantee,Non-govt company,08/04/2021,15941575,4071541,Active,MANUFACTURING (CHEMICALS),"E-505, MG Road, Satellite, Tamil Nadu - 423873",ROC-CHENNAI
L38049TN2004PTC791084,TRADING IMPORTS LIMITED,One Person Company,Company limited by guarantee,State Govt company,10/01/2004,33970918,2290656,Amalgamated,COMPUTER PROGRAMMING,"C-303, Link Road, Whitefield, Tamil Nadu - 428064",ROC-CHENNAI
U86376TN2009PLC471145,SERVICES PHARMA PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,23/04/2009,29544142,9284336,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"A-101, Anna Salai, Adyar, Tamil Nadu - 558717",ROC-CHENNAI
L68591TN2006OPC231144,CONSTRUCTIONS FINANCE LIMITED,Public,Company limited by guarantee,State Govt company,11/05/2006,2772836,17322995,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"B-202, Brigade Road, Satellite, Tamil Nadu - 497259",ROC-CHENNAI
L84779TN2013PTC113946,CORPORATIONS CHEMICALS GLOBAL PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,25/03/2013,25237661,5735907,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"E-505, Brigade Road, Borivali, Tamil Nadu - 533943",ROC-CHENNAI
U28652TN2005PTC123862,SERVICES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,05/11/2005,17758924,7974850,Under Liquidation,EDUCATION,"B-202, Anna Salai, Andheri, Tamil Nadu - 497495",ROC-CHENNAI
U52733TN2017OPC676581,TECHNOLOGIES SERVICES LIMITED,Public,Company limited by shares,State Govt company,05/10/2017,7303436,13040785,Active,REAL ESTATE ACTIVITIES,"B-202, Brigade Road, Satellite, Tamil Nadu - 442917",ROC-CHENNAI
L86874TN2007OPC859301,GLOBAL IMPORTS PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,13/04/2007,4266347,2159037,Active,MANUFACTURING (FOOD PRODUCTS),"D-404, Anna Salai, Andheri, Tamil Nadu - 545774",ROC-CHENNAI
L37111TN2005PLC598657,TECH LIMITED,One Person Company,Company limited by shares,Non-govt company,09/09/2005,18893680,390425,Strike Off,ACCOMMODATION AND FOOD SERVICE,"A-101, Brigade Road, Satellite, Tamil Nadu - 414352",ROC-CHENNAI
L18152TN2008PTC887631,TECHNOLOGIES FOODS PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,03/07/2008,29676136,20883268,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"E-505, MG Road, Satellite, Tamil Nadu - 554427",ROC-CHENNAI
U35928TN2017PLC463652,INDUSTRIES DEVELOPERS FOODS PRIVATE LIMITED,Private,Unlimited Company,State Govt company,04/06/2017,18670634,19462960,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Anna Salai, Whitefield, Tamil Nadu - 428809",ROC-CHENNAI
L15925TN2009PLC264864,CHEMICALS PHARMA TECH PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,09/05/2009,1364600,6128493,Active,MANUFACTURING (CHEMICALS),"A-101, Link Road, Whitefield, Tamil Nadu - 470016",ROC-CHENNAI
L34829TN2019PLC202670,CHEMICALS EDUCATION SOLUTIONS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,29/08/2019,9385427,17655757,Amalgamated,REAL ESTATE ACTIVITIES,"A-101, Brigade Road, Borivali, Tamil Nadu - 451103",ROC-CHENNAI
U83540TN2007PLC861633,CORPORATIONS REALTY OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,09/08/2007,37592964,11583551,Active,COMPUTER PROGRAMMING,"B-202, Brigade Road, Andheri, Tamil Nadu - 471103",ROC-CHENNAI
U88460TN2008PLC488886,TECHNOLOGIES PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,29/08/2008,47102277,10561604,Amalgamated,RETAIL TRADE,"E-505, Anna Salai, Borivali, Tamil Nadu - 468581",ROC-CHENNAI
U16766TN2011OPC458022,MANUFACTURING CONSTRUCTIONS OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,27/10/2011,11221489,19090808,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"A-101, Park Street, Adyar, Tamil Nadu - 452837",ROC-CHENNAI
U66322TN2001PTC351262,TECH PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,18/09/2001,37006384,22608623,Under Liquidation,MANUFACTURING (CHEMICALS),"A-101, Link Road, Borivali, Tamil Nadu - 466314",ROC-CHENNAI
L22777TN2008PTC235441,DEVELOPERS GLOBAL LIMITED,One Person Company,Unlimited Company,State Govt company,22/10/2008,9633369,20765329,Dissolved,RETAIL TRADE,"E-505, Link Road, Andheri, Tamil Nadu - 473645",ROC-CHENNAI
U83304TN2021PLC534298,GLOBAL LIMITED,Public,Company limited by shares,Non-govt company,05/01/2021,13413734,13198959,Active,RETAIL TRADE,"C-303, Park Street, Borivali, Tamil Nadu - 406972",ROC-CHENNAI
U54869TN2017PTC278901,TECH DEVELOPERS INDUSTRIES LIMITED,Private,Unlimited Company,Non-govt company,28/12/2017,7433807,8969919,Under Liquidation,WHOLESALE TRADE,"E-505, Link Road, Whitefield, Tamil Nadu - 463681",ROC-CHENNAI
U65720TN2004PTC779106,CHEMICALS VENTURES TRADING PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,08/01/2004,8106161,392578,Strike Off,REAL ESTATE ACTIVITIES,"C-303, Link Road, Satellite, Tamil Nadu - 426673",ROC-CHENNAI
U16068TN2003PTC986993,TEXTILES PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,03/04/2003,43395978,14093997,Under Liquidation,RETAIL TRADE,"D-404, MG Road, Satellite, Tamil Nadu - 488039",ROC-CHENNAI
U69153TN2019PTC547236,VENTURES LIMITED,One Person Company,Company limited by shares,Non-govt company,02/06/2019,48240643,2819220,Strike Off,ACCOMMODATION AND FOOD SERVICE,"D-404, Anna Salai, Satellite, Tamil Nadu - 484783",ROC-CHENNAI
U96403TN2019OPC429614,IMPORTS INDIA HEALTHCARE PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,08/10/2019,9663407,16336261,Active,WHOLESALE TRADE,"C-303, MG Road, Whitefield, Tamil Nadu - 482835",ROC-CHENNAI
U33308TN2003OPC359788,SERVICES INDUSTRIES LIMITED,Private,Company limited by guarantee,State Govt company,06/03/2003,30864668,11407320,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, MG Road, Satellite, Tamil Nadu - 521102",ROC-CHENNAI
U80119TN2021OPC597877,EXPORTS LIMITED,Private,Unlimited Company,Non-govt company,02/02/2021,28096803,3237356,Under Liquidation,COMPUTER PROGRAMMING,"B-202, Brigade Road, Satellite, Tamil Nadu - 423653",ROC-CHENNAI
U13846TN2016OPC468116,INNOVATIONS HEALTHCARE REALTY OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,24/10/2016,9883705,17395685,Strike Off,EDUCATION,"E-505, MG Road, Satellite, Tamil Nadu - 486726",ROC-CHENNAI
L76924TN2002PLC896569,FOODS IMPORTS OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,30/05/2002,1918395,22159917,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, MG Road, Satellite, Tamil Nadu - 519710",ROC-CHENNAI
U94649TN2006PLC888163,SOLUTIONS CONSTRUCTIONS INTERNATIONAL OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,01/09/2006,11310931,3186406,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, Park Street, Adyar, Tamil Nadu - 471986",ROC-CHENNAI
L35744TN2021PTC169639,HEALTHCARE SYSTEMS FINANCE LIMITED,One Person Company,Unlimited Company,State Govt company,20/09/2021,36720297,24081580,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"D-404, Park Street, Borivali, Tamil Nadu - 434102",ROC-CHENNAI
L76778TN2022PTC745059,TRADING SYSTEMS OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,27/09/2022,2763258,8321518,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Brigade Road, Adyar, Tamil Nadu - 472574",ROC-CHENNAI
U33471TN2015PLC311038,HEALTHCARE FOODS PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,10/12/2015,11865231,9988888,Dissolved,ACCOMMODATION AND FOOD SERVICE,"B-202, Link Road, Andheri, Tamil Nadu - 532169",ROC-CHENNAI
L58759TN2005PTC925837,HEALTHCARE OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,27/07/2005,23315884,18789873,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"E-505, Link Road, Borivali, Tamil Nadu - 483314",ROC-CHENNAI
U48647TN2009PTC807546,REALTY CORPORATIONS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,01/09/2009,22794787,1898311,Active,ACCOMMODATION AND FOOD SERVICE,"B-202, Link Road, Andheri, Tamil Nadu - 477119",ROC-CHENNAI
U62109TN2022PTC646780,IMPORTS OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,16/11/2022,43998476,392380,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Brigade Road, Adyar, Tamil Nadu - 420819",ROC-CHENNAI
U43368TN2005OPC605574,IMPORTS FOODS INTERNATIONAL OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,25/07/2005,31232743,8903415,Amalgamated,CONSTRUCTION,"E-505, Link Road, Satellite, Tamil Nadu - 425354",ROC-CHENNAI
U50238TN2003PTC485332,DEVELOPERS TRADING PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,12/03/2003,49338708,6944249,Under Liquidation,WHOLESALE TRADE,"D-404, Park Street, Andheri, Tamil Nadu - 463198",ROC-CHENNAI
L22025TN2013PLC980690,INVESTMENTS TEXTILES PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,05/07/2013,48339140,22144992,Amalgamated,WHOLESALE TRADE,"D-404, Park Street, Whitefield, Tamil Nadu - 552250",ROC-CHENNAI
U53214TN2021PLC296466,FOODS GLOBAL REALTY OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,26/02/2021,5711115,478681,Active,INFORMATION SERVICE ACTIVITIES,"A-101, Link Road, Andheri, Tamil Nadu - 422485",ROC-CHENNAI
L23398TN2002OPC483988,INDIA PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,09/08/2002,33671552,14469290,Under Liquidation,MANUFACTURING (CHEMICALS),"D-404, Anna Salai, Borivali, Tamil Nadu - 441442",ROC-CHENNAI
L46175TN2022PLC791171,TECH OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,07/04/2022,41242880,8443069,Under Liquidation,HUMAN HEALTH AND SOCIAL WORK,"B-202, Link Road, Adyar, Tamil Nadu - 518255",ROC-CHENNAI
L36767TN2009OPC619035,TECH EDUCATION CONSTRUCTIONS PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,08/09/2009,37821085,22290656,Under Liquidation,MANUFACTURING (TEXTILES),"D-404, MG Road, Whitefield, Tamil Nadu - 424630",ROC-CHENNAI
U40019TN2014OPC635415,TRADING HEALTHCARE INDIA LIMITED,One Person Company,Company limited by guarantee,Non-govt company,24/05/2014,10140543,3284656,Active,REAL ESTATE ACTIVITIES,"C-303, Brigade Road, Whitefield, Tamil Nadu - 494219",ROC-CHENNAI
U13431TN2001PLC254728,INTERNATIONAL TECH OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,12/03/2001,30719846,21190889,Dissolved,MANUFACTURING (CHEMICALS),"E-505, Anna Salai, Satellite, Tamil Nadu - 426069",ROC-CHENNAI
U22784TN2004OPC545856,GLOBAL INDUSTRIES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,24/04/2004,32267696,13377473,Under Liquidation,WHOLESALE TRADE,"D-404, Brigade Road, Andheri, Tamil Nadu - 526403",ROC-CHENNAI
U76146TN2005PLC570827,INVESTMENTS MANUFACTURING LIMITED,Public,Company limited by shares,Non-govt company,12/01/2005,19961399,13720554,Active,MANUFACTURING (FOOD PRODUCTS),"D-404, Anna Salai, Satellite, Tamil Nadu - 487550",ROC-CHENNAI
U45763TN2010PTC969221,CAPITAL FOODS CORPORATIONS LIMITED,One Person Company,Company limited by shares,State Govt company,18/04/2010,667184,3163553,Under Liquidation,RETAIL TRADE,"B-202, Link Road, Whitefield, Tamil Nadu - 526787",ROC-CHENNAI
L37534TN2005PLC544779,TECH TEXTILES EDUCATION LIMITED,One Person Company,Company limited by shares,State Govt company,01/10/2005,274376,1298881,Amalgamated,REAL ESTATE ACTIVITIES,"C-303, Park Street, Whitefield, Tamil Nadu - 482736",ROC-CHENNAI
U93856TN2000PLC166802,PHARMA LIMITED,One Person Company,Company limited by guarantee,Non-govt company,16/06/2000,26063702,10727178,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"C-303, Brigade Road, Satellite, Tamil Nadu - 401672",ROC-CHENNAI
L79992TN2016PLC409776,INDUSTRIES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,31/10/2016,12837670,9099442,Active,COMPUTER PROGRAMMING,"E-505, Brigade Road, Satellite, Tamil Nadu - 547618",ROC-CHENNAI
U10194TN2021PTC157229,TECH OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,17/10/2021,44286750,22697911,Active,COMPUTER PROGRAMMING,"B-202, Park Street, Borivali, Tamil Nadu - 435617",ROC-CHENNAI
L28058TN2023PTC440095,CAPITAL TECHNOLOGIES INNOVATIONS OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,14/06/2023,42512446,20881831,Strike Off,CONSTRUCTION,"D-404, MG Road, Satellite, Tamil Nadu - 454428",ROC-CHENNAI
U38858TN2007PTC998503,TECH PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,29/01/2007,22338881,22378723,Strike Off,ACCOMMODATION AND FOOD SERVICE,"C-303, Link Road, Andheri, Tamil Nadu - 539359",ROC-CHENNAI
U40903TN2006OPC699757,SERVICES TECHNOLOGIES CHEMICALS LIMITED,Private,Unlimited Company,State Govt company,12/08/2006,30322704,12514870,Amalgamated,WHOLESALE TRADE,"E-505, MG Road, Andheri, Tamil Nadu - 506623",ROC-CHENNAI
L60929TN2019PTC304906,CORPORATIONS INNOVATIONS GLOBAL LIMITED,Private,Company limited by shares,State Govt company,13/02/2019,32254433,14363014,Under Liquidation,RETAIL TRADE,"C-303, Anna Salai, Andheri, Tamil Nadu - 517696",ROC-CHENNAI
U18220TN2005OPC133332,REALTY LIMITED,Public,Company limited by shares,State Govt company,09/07/2005,31810644,20461841,Active,REAL ESTATE ACTIVITIES,"E-505, Park Street, Satellite, Tamil Nadu - 415845",ROC-CHENNAI
L94457TN2006PTC973807,ENTERPRISES INVESTMENTS INDIA LIMITED,Public,Unlimited Company,Non-govt company,28/01/2006,29614333,15452857,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"B-202, Brigade Road, Borivali, Tamil Nadu - 407125",ROC-CHENNAI
L30120TN2012PLC490779,CORPORATIONS INDUSTRIES SERVICES PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,19/05/2012,33972683,1235746,Dissolved,REAL ESTATE ACTIVITIES,"A-101, Link Road, Adyar, Tamil Nadu - 412004",ROC-CHENNAI
U24932TN2020PTC181081,VENTURES INDIA LIMITED,One Person Company,Company limited by shares,State Govt company,24/08/2020,39113105,24005332,Active,HUMAN HEALTH AND SOCIAL WORK,"B-202, Brigade Road, Borivali, Tamil Nadu - 428390",ROC-CHENNAI
L62844TN2017PTC644110,IMPORTS PHARMA CORPORATIONS PRIVATE LIMITED,Private,Unlimited Company,State Govt company,18/07/2017,33723781,14120307,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"B-202, Link Road, Whitefield, Tamil Nadu - 422421",ROC-CHENNAI
U23879TN2018PTC867130,INNOVATIONS SYSTEMS TRADING PRIVATE LIMITED,Private,Unlimited Company,State Govt company,09/07/2018,41764594,21290750,Under Liquidation,CONSTRUCTION,"D-404, Park Street, Whitefield, Tamil Nadu - 462063",ROC-CHENNAI
U64346TN2021PTC401731,REALTY INDUSTRIES OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,01/04/2021,18754306,7526991,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Anna Salai, Satellite, Tamil Nadu - 558217",ROC-CHENNAI
U36175TN2008OPC221186,INDUSTRIES LIMITED,Public,Company limited by shares,Non-govt company,06/10/2008,48764885,22582131,Strike Off,MANUFACTURING (CHEMICALS),"E-505, MG Road, Adyar, Tamil Nadu - 452267",ROC-CHENNAI
L95419TN2008PLC617954,TECHNOLOGIES TEXTILES PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,28/08/2008,28516464,8076445,Strike Off,MANUFACTURING (CHEMICALS),"D-404, Anna Salai, Andheri, Tamil Nadu - 460102",ROC-CHENNAI
U45568TN2006PTC541539,INDUSTRIES CORPORATIONS SYSTEMS PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,17/09/2006,14829964,24103063,Strike Off,MANUFACTURING (TEXTILES),"E-505, MG Road, Whitefield, Tamil Nadu - 553339",ROC-CHENNAI
