CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L14592KA2005OPC728191,MANUFACTURING EDUCATION OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,10/04/2005,28637170,16616623,Under Liquidation,MANUFACTURING (TEXTILES),"D-404, Link Road, Adyar, Karnataka - 433903",ROC-BANGALORE
L81476KA2018PLC864520,TRADING SYSTEMS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,23/12/2018,19078060,3103610,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"D-404, Park Street, Adyar, Karnataka - 410688",ROC-BANGALORE
L31360KA2008OPC117278,INNOVATIONS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,05/06/2008,35514345,24055128,Active,FINANCIAL SERVICE ACTIVITIES,"A-101, Park Street, Andheri, Karnataka - 409912",ROC-BANGALORE
U54010KA2003PLC825638,SYSTEMS EXPORTS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,18/02/2003,24906197,5429183,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"B-202, MG Road, Whitefield, Karnataka - 535587",ROC-BANGALORE
U32484KA2010OPC872794,INNOVATIONS LIMITED,One Person Company,Company limited by guarantee,State Govt company,02/12/2010,19779921,19029522,Strike Off,MANUFACTURING (CHEMICALS),"C-303, Park Street, Satellite, Karnataka - 459225",ROC-BANGALORE
U24588KA2016OPC390260,INNOVATIONS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,27/01/2016,26035974,10471195,Active,REAL ESTATE ACTIVITIES,"E-505, Brigade Road, Adyar, Karnataka - 488800",ROC-BANGALORE
L44590KA2012PLC577685,TRADING OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,04/04/2012,25447351,14336019,Under Liquidation,WHOLESALE TRADE,"B-202, Anna Salai, Whitefield, Karnataka - 539875",ROC-BANGALORE
U45999KA2001PLC991563,SERVICES SOLUTIONS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,16/07/2001,29218773,6162291,Active,FINANCIAL SERVICE ACTIVITIES,"D-404, Park Street, Andheri, Karnataka - 491314",ROC-BANGALORE
U25807KA2024PTC919777,FOODS OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,02/07/2024,9932109,17399198,Active,CONSTRUCTION,"D-404, Anna Salai, Andheri, Karnataka - 506494",ROC-BANGALORE
L37429KA2002PTC309056,CAPITAL SOLUTIONS PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,17/01/2002,47228899,13543378,Strike Off,EDUCATION,"E-505, Brigade Road, Borivali, Karnataka - 541400",ROC-BANGALORE
U51445KA2016OPC958796,REALTY ENTERPRISES GLOBAL OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,16/06/2016,25888391,13325484,Active,MANUFACTURING (FOOD PRODUCTS),"D-404, Brigade Road, Borivali, Karnataka - 475743",ROC-BANGALORE
U37322KA2014PLC652290,GLOBAL OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,12/05/2014,33217601,1964106,Amalgamated,EDUCATION,"D-404, MG Road, Andheri, Karnataka - 486036",ROC-BANGALORE
L16156KA2004PLC947167,INDUSTRIES CONSTRUCTIONS MANUFACTURING LIMITED,Public,Company limited by guarantee,Non-govt company,08/05/2004,5049370,19567584,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"D-404, Brigade Road, Satellite, Karnataka - 525708",ROC-BANGALORE
U33275KA2006PLC505211,ENTERPRISES LIMITED,Public,Unlimited Company,State Govt company,10/06/2006,1973250,19520606,Strike Off,FINANCIAL SERVICE ACTIVITIES,"B-202, Brigade Road, Satellite, Karnataka - 418648",ROC-BANGALORE
U60575KA2004PTC992800,INDIA TRADING SYSTEMS PRIVATE LIMITED,Private,Company limited by shares,State Govt company,12/05/2004,531797,18600042,Active,WHOLESALE TRADE,"E-505, Park Street, Andheri, Karnataka - 445065",ROC-BANGALORE
U18961KA2006PLC214179,INDUSTRIES REALTY LIMITED,Private,Company limited by shares,Non-govt company,10/01/2006,23890775,1932807,Active,MANUFACTURING (FOOD PRODUCTS),"A-101, Park Street, Satellite, Karnataka - 485332",ROC-BANGALORE
L82798KA2008PLC965622,FINANCE CAPITAL HEALTHCARE LIMITED,Public,Company limited by guarantee,State Govt company,14/02/2008,49796156,19649581,Active,RETAIL TRADE,"B-202, Anna Salai, Satellite, Karnataka - 558711",ROC-BANGALORE
L88684KA2022OPC333856,IMPORTS TEXTILES PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,22/04/2022,42198347,7218391,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"A-101, Park Street, Borivali, Karnataka - 451074",ROC-BANGALORE
U33009KA2009PLC793700,IMPORTS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,14/10/2009,49209769,23025101,Amalgamated,REAL ESTATE ACTIVITIES,"D-404, Anna Salai, Satellite, Karnataka - 499612",ROC-BANGALORE
U57982KA2018PLC280886,TECH PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,13/06/2018,26988083,23839528,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"A-101, Brigade Road, Andheri, Karnataka - 407298",ROC-BANGALORE
L91232KA2008PLC314133,TECH SERVICES CHEMICALS LIMITED,Public,Unlimited Company,State Govt company,29/06/2008,39480528,21860157,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"E-505, Park Street, Adyar, Karnataka - 459865",ROC-BANGALORE
U23536KA2016PTC169224,INTERNATIONAL FINANCE PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,18/04/2016,42531469,17233466,Active,HUMAN HEALTH AND SOCIAL WORK,"C-303, Anna Salai, Whitefield, Karnataka - 529313",ROC-BANGALORE
U69561KA2020OPC352958,HEALTHCARE SYSTEMS TEXTILES PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,04/01/2020,23619983,4652822,Active,REAL ESTATE ACTIVITIES,"A-101, Anna Salai, Whitefield, Karnataka - 527396",ROC-BANGALORE
L51932KA2014PTC507523,INDUSTRIES REALTY LIMITED,Public,Company limited by shares,State Govt company,10/09/2014,25454840,8488437,Strike Off,WHOLESALE TRADE,"B-202, Link Road, Satellite, Karnataka - 424679",ROC-BANGALORE
L59340KA2018OPC482496,CONSTRUCTIONS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,08/05/2018,33032783,6885366,Active,HUMAN HEALTH AND SOCIAL WORK,"A-101, MG Road, Whitefield, Karnataka - 419150",ROC-BANGALORE
U78352KA2022PTC134300,INDIA PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,01/09/2022,251571,1585298,Dissolved,RETAIL TRADE,"B-202, Brigade Road, Satellite, Karnataka - 552485",ROC-BANGALORE
L16542KA2017OPC783000,INDIA SOLUTIONS LIMITED,Public,Company limited by shares,State Govt company,12/05/2017,28208263,14832278,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Anna Salai, Borivali, Karnataka - 472951",ROC-BANGALORE
L62249KA2020PLC581157,CONSULTANCY EDUCATION TEXTILES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,25/08/2020,2569843,18960366,Active,INFORMATION SERVICE ACTIVITIES,"E-505, Park Street, Adyar, Karnataka - 431713",ROC-BANGALORE
L31060KA2002PTC642777,INTERNATIONAL CORPORATIONS PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,04/10/2002,37099318,16020922,Under Liquidation,MANUFACTURING (CHEMICALS),"C-303, Park Street, Borivali, Karnataka - 550703",ROC-BANGALORE
U55076KA2002OPC516250,SOLUTIONS LIMITED,Private,Company limited by guarantee,Non-govt company,16/11/2002,46591491,6056283,Strike Off,EDUCATION,"C-303, Anna Salai, Adyar, Karnataka - 499038",ROC-BANGALORE
L59788KA2022OPC988578,FOODS TRADING OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,31/01/2022,4057923,24755765,Strike Off,WHOLESALE TRADE,"D-404, MG Road, Satellite, Karnataka - 471309",ROC-BANGALORE
U31693KA2023PTC587865,CORPORATIONS LIMITED,One Person Company,Company limited by shares,Non-govt company,24/03/2023,15216349,20108854,Active,INFORMATION SERVICE ACTIVITIES,"E-505, Anna Salai, Satellite, Karnataka - 491689",ROC-BANGALORE
U18024KA2001OPC563963,ENTERPRISES PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,06/12/2001,31822916,10816293,Strike Off,EDUCATION,"E-505, Brigade Road, Adyar, Karnataka - 487889",ROC-BANGALORE
L69549KA2013PLC556732,HEALTHCARE REALTY SYSTEMS LIMITED,Public,Company limited by guarantee,State Govt company,26/05/2013,2607200,12545190,Active,MANUFACTURING (CHEMICALS),"C-303, Link Road, Andheri, Karnataka - 517585",ROC-BANGALORE
L85446KA2024PLC398887,ENTERPRISES SOLUTIONS CAPITAL PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,23/12/2024,16390266,10262008,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"B-202, Brigade Road, Satellite, Karnataka - 507860",ROC-BANGALORE
L92921KA2013OPC837846,EXPORTS ENTERPRISES OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,18/10/2013,31141933,21811474,Strike Off,REAL ESTATE ACTIVITIES,"C-303, MG Road, Adyar, Karnataka - 523969",ROC-BANGALORE
L74935KA2002PLC375631,TEXTILES REALTY PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,25/09/2002,29037869,8691304,Active,COMPUTER PROGRAMMING,"D-404, Park Street, Andheri, Karnataka - 439453",ROC-BANGALORE
U33384KA2012PLC630087,TECHNOLOGIES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,20/07/2012,45481747,11939123,Under Liquidation,COMPUTER PROGRAMMING,"B-202, Anna Salai, Andheri, Karnataka - 420330",ROC-BANGALORE
U11539KA2007PLC978362,MANUFACTURING EDUCATION PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,20/07/2007,31908908,797303,Amalgamated,COMPUTER PROGRAMMING,"A-101, MG Road, Satellite, Karnataka - 431916",ROC-BANGALORE
U23633KA2002PTC392869,SOLUTIONS PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,06/02/2002,7018209,1083668,Dissolved,FINANCIAL SERVICE ACTIVITIES,"B-202, Brigade Road, Satellite, Karnataka - 472534",ROC-BANGALORE
U16589KA2018PTC639531,EXPORTS CHEMICALS LIMITED,One Person Company,Unlimited Company,State Govt company,05/08/2018,4991346,13314469,Strike Off,MANUFACTURING (FOOD PRODUCTS),"E-505, Park Street, Satellite, Karnataka - 400949",ROC-BANGALORE
L21705KA2004PLC365387,TRADING CONSTRUCTIONS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,09/07/2004,3369114,13004120,Strike Off,COMPUTER PROGRAMMING,"E-505, Park Street, Satellite, Karnataka - 471181",ROC-BANGALORE
U16645KA2020PLC122010,IMPORTS ENTERPRISES PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,10/10/2020,39654474,13954523,Active,CONSTRUCTION,"C-303, Park Street, Andheri, Karnataka - 508016",ROC-BANGALORE
L25332KA2007OPC509512,INDIA EDUCATION VENTURES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,04/01/2007,15242760,4679290,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, MG Road, Whitefield, Karnataka - 517598",ROC-BANGALORE
L12925KA2000PTC734129,INDIA PRIVATE LIMITED,Private,Company limited by shares,State Govt company,24/12/2000,14005246,3680146,Amalgamated,MANUFACTURING (TEXTILES),"D-404, Brigade Road, Andheri, Karnataka - 428438",ROC-BANGALORE
L66333KA2016PTC814337,PHARMA SYSTEMS GLOBAL LIMITED,Private,Company limited by shares,State Govt company,30/07/2016,24510272,16276201,Under Liquidation,HUMAN HEALTH AND SOCIAL WORK,"A-101, Park Street, Borivali, Karnataka - 550585",ROC-BANGALORE
U80719KA2008OPC945473,SYSTEMS IMPORTS TECH LIMITED,Public,Company limited by guarantee,State Govt company,24/04/2008,44928689,13861836,Active,COMPUTER PROGRAMMING,"C-303, MG Road, Whitefield, Karnataka - 426468",ROC-BANGALORE
U87988KA2003PTC810573,CONSULTANCY SOLUTIONS LIMITED,Private,Unlimited Company,Non-govt company,17/02/2003,37825702,14715311,Active,EDUCATION,"C-303, Park Street, Satellite, Karnataka - 488236",ROC-BANGALORE
L21220KA2011PLC690548,INTERNATIONAL OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,04/07/2011,45144956,23994141,Amalgamated,MANUFACTURING (TEXTILES),"A-101, Anna Salai, Andheri, Karnataka - 450846",ROC-BANGALORE
U68611KA2022PLC562141,GLOBAL TECH OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,26/09/2022,49513018,16155497,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Anna Salai, Whitefield, Karnataka - 431763",ROC-BANGALORE
L33673KA2007PLC695292,DEVELOPERS SOLUTIONS PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,14/06/2007,6102429,10854413,Under Liquidation,MANUFACTURING (CHEMICALS),"A-101, MG Road, Whitefield, Karnataka - 543233",ROC-BANGALORE
U18499KA2011OPC146411,TEXTILES LIMITED,Public,Company limited by guarantee,Non-govt company,09/05/2011,19475215,23452265,Active,INFORMATION SERVICE ACTIVITIES,"E-505, Park Street, Whitefield, Karnataka - 452714",ROC-BANGALORE
L21064KA2008OPC895694,INTERNATIONAL SYSTEMS DEVELOPERS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,09/04/2008,12586299,1598177,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"D-404, Link Road, Borivali, Karnataka - 455002",ROC-BANGALORE
U40726KA2008PLC987719,INNOVATIONS FOODS EXPORTS LIMITED,Private,Unlimited Company,Non-govt company,18/08/2008,13656051,11346187,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Park Street, Adyar, Karnataka - 515654",ROC-BANGALORE
L91231KA2010PTC147760,VENTURES ENTERPRISES SERVICES OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,21/09/2010,47139057,6391975,Under Liquidation,RETAIL TRADE,"B-202, Link Road, Andheri, Karnataka - 464047",ROC-BANGALORE
U45110KA2006PLC874069,CAPITAL TRADING LIMITED,One Person Company,Company limited by shares,Non-govt company,23/04/2006,43073114,5987890,Dissolved,COMPUTER PROGRAMMING,"A-101, Park Street, Andheri, Karnataka - 489807",ROC-BANGALORE
U14310KA2005OPC785618,SERVICES INVESTMENTS REALTY PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,26/08/2005,34830302,16068968,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"B-202, Brigade Road, Adyar, Karnataka - 414083",ROC-BANGALORE
L52965KA2014OPC622151,VENTURES HEALTHCARE OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,05/04/2014,1723558,9355138,Strike Off,INFORMATION SERVICE ACTIVITIES,"D-404, Anna Salai, Borivali, Karnataka - 557300",ROC-BANGALORE
L22159KA2004PLC106704,CAPITAL INDUSTRIES PHARMA PRIVATE LIMITED,Private,Unlimited Company,State Govt company,07/06/2004,48968901,23115215,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Brigade Road, Andheri, Karnataka - 457402",ROC-BANGALORE
L30819KA2014PTC525529,TEXTILES PRIVATE LIMITED,Public,Unlimited Company,State Govt company,21/11/2014,3532229,10250728,Dissolved,MANUFACTURING (FOOD PRODUCTS),"A-101, Brigade Road, Whitefield, Karnataka - 461877",ROC-BANGALORE
U79681KA2004OPC129622,REALTY ENTERPRISES DEVELOPERS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,08/12/2004,14298364,17059900,Active,RETAIL TRADE,"B-202, Link Road, Whitefield, Karnataka - 537274",ROC-BANGALORE
L37954KA2012PTC902435,FINANCE OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,22/06/2012,17571221,23065412,Under Liquidation,MANUFACTURING (CHEMICALS),"B-202, Park Street, Satellite, Karnataka - 454509",ROC-BANGALORE
U23528KA2008PTC996889,TRADING REALTY IMPORTS LIMITED,Public,Company limited by shares,Non-govt company,04/05/2008,2921594,23328048,Active,MANUFACTURING (CHEMICALS),"B-202, Link Road, Whitefield, Karnataka - 407682",ROC-BANGALORE
U83682KA2017PTC441574,MANUFACTURING OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,22/12/2017,7155146,16321201,Under Liquidation,COMPUTER PROGRAMMING,"D-404, MG Road, Borivali, Karnataka - 519289",ROC-BANGALORE
U80635KA2018OPC403355,HEALTHCARE TRADING INDUSTRIES LIMITED,One Person Company,Unlimited Company,State Govt company,04/04/2018,3119145,2538504,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Link Road, Adyar, Karnataka - 456715",ROC-BANGALORE
L13542KA2015PLC885747,IMPORTS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,15/08/2015,26578551,23590283,Amalgamated,MANUFACTURING (CHEMICALS),"C-303, Link Road, Borivali, Karnataka - 466363",ROC-BANGALORE
U61400KA2007PLC863890,GLOBAL PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,26/09/2007,38496609,15806240,Amalgamated,EDUCATION,"A-101, Anna Salai, Whitefield, Karnataka - 467923",ROC-BANGALORE
L90326KA2014OPC237925,CONSULTANCY CORPORATIONS TECH OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,21/06/2014,43050182,13016299,Under Liquidation,CONSTRUCTION,"B-202, Brigade Road, Whitefield, Karnataka - 510246",ROC-BANGALORE
L60111KA2010PLC218346,FOODS HEALTHCARE SERVICES PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,17/05/2010,40377165,9319138,Active,RETAIL TRADE,"E-505, Brigade Road, Borivali, Karnataka - 451619",ROC-BANGALORE
L29251KA2022OPC866367,INDUSTRIES OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,31/07/2022,31677203,19343401,Active,EDUCATION,"B-202, MG Road, Satellite, Karnataka - 472276",ROC-BANGALORE
U99399KA2015OPC897580,INDUSTRIES PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,15/06/2015,48923452,18416355,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"D-404, MG Road, Adyar, Karnataka - 541282",ROC-BANGALORE
U47944KA2017PLC992357,INVESTMENTS TECH HEALTHCARE OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,09/06/2017,31319190,3112413,Amalgamated,COMPUTER PROGRAMMING,"B-202, MG Road, Andheri, Karnataka - 435112",ROC-BANGALORE
U83265KA2001PTC981226,CHEMICALS INVESTMENTS PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,14/11/2001,15387539,22741302,Active,ACCOMMODATION AND FOOD SERVICE,"E-505, Brigade Road, Andheri, Karnataka - 536330",ROC-BANGALORE
U12286KA2003PTC745489,VENTURES LIMITED,Public,Company limited by shares,Non-govt company,01/06/2003,25871367,19318332,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"D-404, Park Street, Whitefield, Karnataka - 540984",ROC-BANGALORE
L52963KA2017PLC806596,SERVICES CONSTRUCTIONS SYSTEMS LIMITED,One Person Company,Company limited by guarantee,State Govt company,05/12/2017,32983344,20124747,Amalgamated,INFORMATION SERVICE ACTIVITIES,"C-303, Link Road, Satellite, Karnataka - 480503",ROC-BANGALORE
L17200KA2016PLC502842,INVESTMENTS HEALTHCARE GLOBAL LIMITED,Public,Company limited by guarantee,State Govt company,12/01/2016,45465418,10763247,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"E-505, Park Street, Andheri, Karnataka - 490530",ROC-BANGALORE
L96070KA2002PLC245704,INDIA TEXTILES CAPITAL LIMITED,Public,Company limited by shares,Non-govt company,13/01/2002,27633899,17195303,Under Liquidation,MANUFACTURING (CHEMICALS),"A-101, Park Street, Satellite, Karnataka - 557038",ROC-BANGALORE
L29052KA2024PTC282409,IMPORTS SYSTEMS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,28/04/2024,49680553,24147980,Under Liquidation,REAL ESTATE ACTIVITIES,"E-505, MG Road, Satellite, Karnataka - 429059",ROC-BANGALORE
U80580KA2003OPC883504,TRADING OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,23/05/2003,39998095,9659276,Active,COMPUTER PROGRAMMING,"B-202, MG Road, Adyar, Karnataka - 405319",ROC-BANGALORE
U95865KA2005OPC765871,TECH SERVICES PHARMA LIMITED,One Person Company,Company limited by guarantee,State Govt company,20/10/2005,45044640,6906387,Under Liquidation,REAL ESTATE ACTIVITIES,"B-202, Brigade Road, Andheri, Karnataka - 417052",ROC-BANGALORE
L54557KA2022PLC980892,TECH SYSTEMS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,10/05/2022,38051409,18272352,Under Liquidation,MANUFACTURING (CHEMICALS),"C-303, Anna Salai, Andheri, Karnataka - 409809",ROC-BANGALORE
U96757KA2009OPC156435,DEVELOPERS LIMITED,One Person Company,Unlimited Company,Non-govt company,01/07/2009,5764151,3646856,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Brigade Road, Andheri, Karnataka - 530865",ROC-BANGALORE
U68367KA2021PLC852241,FOODS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,29/08/2021,24336263,10829395,Strike Off,ACCOMMODATION AND FOOD SERVICE,"E-505, Anna Salai, Andheri, Karnataka - 489530",ROC-BANGALORE
L80657KA2013OPC447822,SERVICES PRIVATE LIMITED,Private,Company limited by shares,State Govt company,04/03/2013,37767688,15948932,Under Liquidation,MANUFACTURING (CHEMICALS),"D-404, Link Road, Adyar, Karnataka - 517217",ROC-BANGALORE
L28347KA2016OPC603793,INDUSTRIES INTERNATIONAL TEXTILES PRIVATE LIMITED,Private,Unlimited Company,State Govt company,26/04/2016,13636866,19555371,Dissolved,ACCOMMODATION AND FOOD SERVICE,"C-303, Anna Salai, Andheri, Karnataka - 525802",ROC-BANGALORE
L13871KA2003OPC919644,EXPORTS CAPITAL PRIVATE LIMITED,Public,Company limited by shares,State Govt company,20/06/2003,44894521,12462009,Active,EDUCATION,"B-202, MG Road, Adyar, Karnataka - 485776",ROC-BANGALORE
U44404KA2024PLC103624,PHARMA SERVICES SOLUTIONS LIMITED,Private,Unlimited Company,State Govt company,12/06/2024,1400332,2288995,Active,INFORMATION SERVICE ACTIVITIES,"C-303, Anna Salai, Adyar, Karnataka - 522561",ROC-BANGALORE
U85207KA2006PLC203874,EDUCATION PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,09/01/2006,3422986,23493643,Amalgamated,INFORMATION SERVICE ACTIVITIES,"D-404, Brigade Road, Andheri, Karnataka - 494229",ROC-BANGALORE
U66819KA2007PLC934795,PHARMA OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,16/08/2007,824432,6699621,Under Liquidation,EDUCATION,"D-404, MG Road, Satellite, Karnataka - 429549",ROC-BANGALORE
L11871KA2007PLC427004,HEALTHCARE EXPORTS CHEMICALS LIMITED,Public,Unlimited Company,State Govt company,09/09/2007,49613538,8157266,Amalgamated,INFORMATION SERVICE ACTIVITIES,"B-202, Anna Salai, Borivali, Karnataka - 491110",ROC-BANGALORE
U99852KA2008PLC771685,DEVELOPERS CONSTRUCTIONS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,27/06/2008,20914182,10640387,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Link Road, Borivali, Karnataka - 424305",ROC-BANGALORE
L56724KA2001OPC725705,DEVELOPERS TECHNOLOGIES FINANCE PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,18/02/2001,32715161,11250646,Dissolved,MANUFACTURING (TEXTILES),"D-404, Brigade Road, Satellite, Karnataka - 502899",ROC-BANGALORE
L23669KA2015OPC932031,EXPORTS SYSTEMS DEVELOPERS LIMITED,Private,Company limited by shares,State Govt company,05/08/2015,11933193,21935635,Active,COMPUTER PROGRAMMING,"D-404, Brigade Road, Whitefield, Karnataka - 545134",ROC-BANGALORE
L68608KA2011PLC735710,INDIA HEALTHCARE CAPITAL LIMITED,Public,Unlimited Company,State Govt company,01/01/2011,13309623,21026993,Strike Off,FINANCIAL SERVICE ACTIVITIES,"C-303, Link Road, Andheri, Karnataka - 495941",ROC-BANGALORE
