CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L65216GJ2009OPC249257,FINANCE VENTURES CONSULTANCY LIMITED,Private,Company limited by shares,State Govt company,29/11/2009,37993251,24595149,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"C-303, Link Road, Satellite, Gujarat - 499859",ROC-AHMEDABAD
L70984GJ2021PLC114139,MANUFACTURING SERVICES TEXTILES OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,21/12/2021,23452724,3389249,Amalgamated,MANUFACTURING (CHEMICALS),"C-303, Park Street, Whitefield, Gujarat - 439176",ROC-AHMEDABAD
L71306GJ2024PTC714290,TECH EXPORTS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,14/07/2024,3857023,22228898,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"B-202, Brigade Road, Borivali, Gujarat - 518142",ROC-AHMEDABAD
L98135GJ2023OPC150845,TECH TEXTILES INVESTMENTS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,15/10/2023,13936139,20280569,Strike Off,FINANCIAL SERVICE ACTIVITIES,"C-303, Park Street, Andheri, Gujarat - 467363",ROC-AHMEDABAD
L49057GJ2024OPC971150,TECHNOLOGIES PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,13/03/2024,14747217,14386686,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Brigade Road, Whitefield, Gujarat - 460052",ROC-AHMEDABAD
L55027GJ2023OPC827598,REALTY CHEMICALS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,03/12/2023,49436577,11685177,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"D-404, Park Street, Andheri, Gujarat - 403206",ROC-AHMEDABAD
L90670GJ2018PTC270421,ENTERPRISES TEXTILES OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,24/11/2018,46269045,14563958,Dissolved,COMPUTER PROGRAMMING,"A-101, Park Street, Borivali, Gujarat - 507472",ROC-AHMEDABAD
U32312GJ2009PLC353991,SOLUTIONS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,16/02/2009,41514836,6001173,Active,CONSTRUCTION,"D-404, Brigade Road, Borivali, Gujarat - 428768",ROC-AHMEDABAD
U71215GJ2001PLC350052,HEALTHCARE LIMITED,Private,Company limited by shares,State Govt company,15/11/2001,6766168,24412869,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Park Street, Borivali, Gujarat - 475782",ROC-AHMEDABAD
L75794GJ2016PLC570004,CORPORATIONS INNOVATIONS MANUFACTURING OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,27/01/2016,32634881,9532073,Active,WHOLESALE TRADE,"B-202, Park Street, Borivali, Gujarat - 473110",ROC-AHMEDABAD
L69707GJ2019OPC406078,INTERNATIONAL EXPORTS PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,30/01/2019,7055386,4174967,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Anna Salai, Adyar, Gujarat - 541183",ROC-AHMEDABAD
L34508GJ2010PTC308891,MANUFACTURING INNOVATIONS OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,03/01/2010,33894040,19221446,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, MG Road, Adyar, Gujarat - 539386",ROC-AHMEDABAD
L12266GJ2021OPC748071,ENTERPRISES TECHNOLOGIES INNOVATIONS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,26/01/2021,23592425,14299920,Dissolved,REAL ESTATE ACTIVITIES,"C-303, Anna Salai, Adyar, Gujarat - 465523",ROC-AHMEDABAD
L42872GJ2021OPC356136,TECHNOLOGIES INDIA PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,21/01/2021,17823885,17386378,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, MG Road, Andheri, Gujarat - 496768",ROC-AHMEDABAD
L99916GJ2010OPC131507,ENTERPRISES OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,22/03/2010,10372044,1135742,Active,ACCOMMODATION AND FOOD SERVICE,"A-101, Link Road, Satellite, Gujarat - 556290",ROC-AHMEDABAD
U82371GJ2018PLC913126,MANUFACTURING SOLUTIONS FINANCE LIMITED,Public,Company limited by shares,Non-govt company,15/01/2018,17763724,11069145,Active,WHOLESALE TRADE,"A-101, MG Road, Whitefield, Gujarat - 543945",ROC-AHMEDABAD
L19825GJ2005PLC191781,DEVELOPERS INDIA LIMITED,One Person Company,Company limited by shares,State Govt company,10/05/2005,26449401,7370849,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, Anna Salai, Satellite, Gujarat - 486323",ROC-AHMEDABAD
U79514GJ2016OPC992994,INDUSTRIES PHARMA TECH PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,01/11/2016,28889167,17728035,Active,ACCOMMODATION AND FOOD SERVICE,"D-404, MG Road, Adyar, Gujarat - 497231",ROC-AHMEDABAD
U92540GJ2013PTC538039,REALTY LIMITED,Private,Company limited by shares,Non-govt company,02/02/2013,26718976,14096967,Dissolved,RETAIL TRADE,"C-303, Link Road, Satellite, Gujarat - 483216",ROC-AHMEDABAD
L15700GJ2020OPC321026,VENTURES GLOBAL SOLUTIONS LIMITED,Public,Company limited by guarantee,Non-govt company,11/07/2020,10349977,10409474,Under Liquidation,HUMAN HEALTH AND SOCIAL WORK,"D-404, Park Street, Adyar, Gujarat - 466980",ROC-AHMEDABAD
L45796GJ2010PTC731460,VENTURES INVESTMENTS PHARMA LIMITED,Private,Unlimited Company,State Govt company,08/04/2010,14827779,2430046,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Link Road, Adyar, Gujarat - 477978",ROC-AHMEDABAD
L65649GJ2012OPC415281,CHEMICALS CONSTRUCTIONS INDIA OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,19/05/2012,47586342,3848450,Amalgamated,EDUCATION,"A-101, Anna Salai, Adyar, Gujarat - 472050",ROC-AHMEDABAD
U75352GJ2019PTC735135,CONSTRUCTIONS INNOVATIONS PRIVATE LIMITED,Private,Company limited by shares,State Govt company,20/05/2019,26544910,5385830,Strike Off,COMPUTER PROGRAMMING,"D-404, Link Road, Whitefield, Gujarat - 523832",ROC-AHMEDABAD
L43211GJ2010PLC402542,INTERNATIONAL CORPORATIONS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,30/06/2010,31581836,13986523,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Park Street, Andheri, Gujarat - 405324",ROC-AHMEDABAD
U51512GJ2000OPC217036,VENTURES SERVICES FINANCE OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,03/01/2000,46394363,13549263,Active,MANUFACTURING (CHEMICALS),"E-505, Park Street, Adyar, Gujarat - 418878",ROC-AHMEDABAD
U12744GJ2014PLC931913,FOODS FINANCE CORPORATIONS LIMITED,One Person Company,Company limited by guarantee,State Govt company,11/10/2014,44771912,21706355,Under Liquidation,MANUFACTURING (CHEMICALS),"B-202, Park Street, Andheri, Gujarat - 529352",ROC-AHMEDABAD
U47083GJ2004PTC911724,FINANCE CONSTRUCTIONS ENTERPRISES OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,06/08/2004,18192198,22943760,Dissolved,MANUFACTURING (TEXTILES),"A-101, Brigade Road, Whitefield, Gujarat - 437156",ROC-AHMEDABAD
L44816GJ2018PTC647110,DEVELOPERS INVESTMENTS SOLUTIONS OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,04/06/2018,19300488,14608328,Strike Off,COMPUTER PROGRAMMING,"E-505, Anna Salai, Satellite, Gujarat - 517206",ROC-AHMEDABAD
L40383GJ2023PTC637375,SOLUTIONS EXPORTS FOODS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,24/12/2023,34567238,95621,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"A-101, Link Road, Borivali, Gujarat - 516904",ROC-AHMEDABAD
U77822GJ2013PLC959965,EXPORTS LIMITED,Private,Unlimited Company,State Govt company,17/03/2013,22640828,19154318,Strike Off,WHOLESALE TRADE,"C-303, Link Road, Satellite, Gujarat - 545921",ROC-AHMEDABAD
U92730GJ2006PTC998579,EXPORTS OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,19/04/2006,28917139,16813959,Active,INFORMATION SERVICE ACTIVITIES,"C-303, Park Street, Satellite, Gujarat - 481806",ROC-AHMEDABAD
U81708GJ2002PTC969366,REALTY FOODS HEALTHCARE LIMITED,Public,Company limited by guarantee,State Govt company,11/05/2002,30208075,23362999,Active,HUMAN HEALTH AND SOCIAL WORK,"A-101, Park Street, Adyar, Gujarat - 548672",ROC-AHMEDABAD
U39363GJ2016PLC184582,CONSULTANCY SOLUTIONS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,21/06/2016,38927635,11740819,Active,CONSTRUCTION,"A-101, Park Street, Adyar, Gujarat - 550700",ROC-AHMEDABAD
L34634GJ2013PLC128943,INNOVATIONS LIMITED,Public,Company limited by shares,Non-govt company,10/10/2013,3477509,8186894,Amalgamated,MANUFACTURING (TEXTILES),"D-404, Park Street, Satellite, Gujarat - 553105",ROC-AHMEDABAD
U51933GJ2001OPC202366,SOLUTIONS OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,20/11/2001,7333738,23483848,Strike Off,ACCOMMODATION AND FOOD SERVICE,"E-505, Link Road, Adyar, Gujarat - 480207",ROC-AHMEDABAD
U17036GJ2018PLC337358,INVESTMENTS LIMITED,One Person Company,Company limited by shares,Non-govt company,09/07/2018,24016816,18157008,Strike Off,FINANCIAL SERVICE ACTIVITIES,"B-202, MG Road, Satellite, Gujarat - 414639",ROC-AHMEDABAD
U94213GJ2015OPC203064,TECHNOLOGIES TECH LIMITED,Public,Unlimited Company,State Govt company,26/05/2015,24106528,17206823,Active,FINANCIAL SERVICE ACTIVITIES,"E-505, Anna Salai, Satellite, Gujarat - 529055",ROC-AHMEDABAD
U85036GJ2013PTC902465,INVESTMENTS FOODS LIMITED,One Person Company,Company limited by shares,Non-govt company,15/03/2013,16531197,16997607,Active,HUMAN HEALTH AND SOCIAL WORK,"D-404, Brigade Road, Andheri, Gujarat - 494308",ROC-AHMEDABAD
L43910GJ2024PLC637972,GLOBAL VENTURES LIMITED,Public,Company limited by guarantee,Non-govt company,15/05/2024,39136828,4112651,Under Liquidation,MANUFACTURING (FOOD PRODUCTS),"E-505, Brigade Road, Borivali, Gujarat - 423417",ROC-AHMEDABAD
L65313GJ2022PLC406493,TECH CONSULTANCY LIMITED,Private,Company limited by shares,Non-govt company,07/10/2022,27669621,5229612,Active,CONSTRUCTION,"E-505, Link Road, Whitefield, Gujarat - 471352",ROC-AHMEDABAD
U21023GJ2003PTC620092,CONSTRUCTIONS VENTURES EXPORTS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,04/07/2003,47745822,21464255,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Anna Salai, Satellite, Gujarat - 428938",ROC-AHMEDABAD
L62764GJ2007PLC777963,FOODS SYSTEMS CONSTRUCTIONS LIMITED,Public,Company limited by shares,Non-govt company,31/07/2007,25096203,24971938,Strike Off,MANUFACTURING (FOOD PRODUCTS),"E-505, Link Road, Borivali, Gujarat - 403688",ROC-AHMEDABAD
L98367GJ2024PLC527331,CAPITAL SYSTEMS LIMITED,One Person Company,Unlimited Company,Non-govt company,26/06/2024,21061706,979940,Dissolved,MANUFACTURING (TEXTILES),"D-404, Park Street, Whitefield, Gujarat - 522554",ROC-AHMEDABAD
U88264GJ2021PLC255935,TRADING CORPORATIONS INNOVATIONS LIMITED,Private,Company limited by shares,Non-govt company,03/01/2021,41612778,13442046,Under Liquidation,MANUFACTURING (FOOD PRODUCTS),"E-505, MG Road, Whitefield, Gujarat - 457112",ROC-AHMEDABAD
L64076GJ2012OPC311487,REALTY VENTURES PRIVATE LIMITED,Private,Unlimited Company,State Govt company,14/12/2012,1482257,9259060,Active,ACCOMMODATION AND FOOD SERVICE,"A-101, Link Road, Andheri, Gujarat - 534270",ROC-AHMEDABAD
L29474GJ2021PTC571889,SERVICES EXPORTS SOLUTIONS LIMITED,One Person Company,Unlimited Company,Non-govt company,28/11/2021,40771393,11596180,Under Liquidation,CONSTRUCTION,"D-404, Park Street, Satellite, Gujarat - 503169",ROC-AHMEDABAD
U30500GJ2017PTC171236,SERVICES CAPITAL PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,21/12/2017,14494544,6063925,Amalgamated,REAL ESTATE ACTIVITIES,"A-101, Brigade Road, Whitefield, Gujarat - 432822",ROC-AHMEDABAD
L43238GJ2020OPC756588,CHEMICALS INVESTMENTS TEXTILES LIMITED,Public,Unlimited Company,Non-govt company,13/06/2020,42967298,18328268,Amalgamated,MANUFACTURING (CHEMICALS),"A-101, MG Road, Whitefield, Gujarat - 420457",ROC-AHMEDABAD
L50127GJ2009PLC797419,FINANCE OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,10/08/2009,44033761,13975309,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Brigade Road, Andheri, Gujarat - 518164",ROC-AHMEDABAD
U67042GJ2019PTC906012,PHARMA OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,15/04/2019,31910464,11878433,Strike Off,MANUFACTURING (TEXTILES),"D-404, Brigade Road, Andheri, Gujarat - 466645",ROC-AHMEDABAD
L69952GJ2005PTC863121,CORPORATIONS INTERNATIONAL EXPORTS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,09/07/2005,7325677,10697018,Strike Off,ACCOMMODATION AND FOOD SERVICE,"E-505, Link Road, Adyar, Gujarat - 435932",ROC-AHMEDABAD
U38072GJ2019PLC269369,TECHNOLOGIES SYSTEMS PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,22/03/2019,30040052,10654353,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Brigade Road, Adyar, Gujarat - 518800",ROC-AHMEDABAD
U67464GJ2022PTC647699,CORPORATIONS PHARMA LIMITED,Public,Unlimited Company,State Govt company,14/07/2022,42634448,21349469,Active,WHOLESALE TRADE,"E-505, MG Road, Whitefield, Gujarat - 493756",ROC-AHMEDABAD
L98809GJ2009PTC392329,INDUSTRIES FINANCE PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,09/08/2009,5696550,23467095,Strike Off,FINANCIAL SERVICE ACTIVITIES,"E-505, Brigade Road, Satellite, Gujarat - 481967",ROC-AHMEDABAD
L51085GJ2018PLC587520,TECHNOLOGIES EDUCATION INTERNATIONAL OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,14/12/2018,16936617,23713914,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"E-505, Anna Salai, Adyar, Gujarat - 498707",ROC-AHMEDABAD
U90170GJ2020OPC786920,TEXTILES EXPORTS CORPORATIONS OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,29/01/2020,37016991,6282535,Active,REAL ESTATE ACTIVITIES,"E-505, MG Road, Andheri, Gujarat - 508766",ROC-AHMEDABAD
L74320GJ2009PLC544130,CORPORATIONS EDUCATION OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,17/07/2009,4471023,5645765,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Anna Salai, Adyar, Gujarat - 503423",ROC-AHMEDABAD
U49139GJ2011PTC556815,TECH ENTERPRISES EXPORTS LIMITED,One Person Company,Company limited by shares,State Govt company,24/07/2011,4597079,3501352,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"E-505, MG Road, Satellite, Gujarat - 500959",ROC-AHMEDABAD
L71301GJ2005OPC342402,TECH LIMITED,One Person Company,Company limited by shares,Non-govt company,16/08/2005,21189712,18725818,Active,REAL ESTATE ACTIVITIES,"E-505, Brigade Road, Satellite, Gujarat - 458323",ROC-AHMEDABAD
L50988GJ2020PTC696760,GLOBAL LIMITED,One Person Company,Unlimited Company,Non-govt company,05/12/2020,4857603,19189648,Amalgamated,INFORMATION SERVICE ACTIVITIES,"E-505, Anna Salai, Satellite, Gujarat - 409588",ROC-AHMEDABAD
L91650GJ2016PLC999079,GLOBAL EDUCATION PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,31/08/2016,31011274,1198317,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Park Street, Satellite, Gujarat - 553925",ROC-AHMEDABAD
U26091GJ2016PTC983090,CONSTRUCTIONS TECHNOLOGIES LIMITED,Private,Company limited by shares,Non-govt company,19/11/2016,5472113,3908212,Under Liquidation,RETAIL TRADE,"D-404, Anna Salai, Adyar, Gujarat - 475293",ROC-AHMEDABAD
L57151GJ2005PTC753440,GLOBAL PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,13/06/2005,8073806,3592807,Active,INFORMATION SERVICE ACTIVITIES,"D-404, Link Road, Satellite, Gujarat - 417289",ROC-AHMEDABAD
L63755GJ2011PTC948742,GLOBAL INDUSTRIES CONSTRUCTIONS OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,18/01/2011,17145683,19796676,Dissolved,RETAIL TRADE,"B-202, Park Street, Whitefield, Gujarat - 499263",ROC-AHMEDABAD
U50814GJ2001PLC424340,MANUFACTURING INNOVATIONS TEXTILES PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,03/08/2001,5493465,4368907,Under Liquidation,REAL ESTATE ACTIVITIES,"C-303, Park Street, Borivali, Gujarat - 488790",ROC-AHMEDABAD
U26870GJ2019PTC199163,EDUCATION LIMITED,Public,Unlimited Company,State Govt company,11/02/2019,29755112,17759973,Under Liquidation,WHOLESALE TRADE,"E-505, Park Street, Andheri, Gujarat - 548631",ROC-AHMEDABAD
U74187GJ2003PTC181373,EDUCATION MANUFACTURING LIMITED,Public,Unlimited Company,State Govt company,12/03/2003,39111407,14227465,Strike Off,RETAIL TRADE,"B-202, Brigade Road, Andheri, Gujarat - 447068",ROC-AHMEDABAD
U90080GJ2018PLC646210,MANUFACTURING TECHNOLOGIES IMPORTS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,30/03/2018,20147223,8783383,Strike Off,COMPUTER PROGRAMMING,"A-101, MG Road, Satellite, Gujarat - 400075",ROC-AHMEDABAD
U77139GJ2011OPC248889,ENTERPRISES FOODS HEALTHCARE PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,13/04/2011,16404577,22403694,Active,FINANCIAL SERVICE ACTIVITIES,"C-303, Park Street, Whitefield, Gujarat - 552467",ROC-AHMEDABAD
L43021GJ2009OPC633279,INDIA TEXTILES PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,12/06/2009,25235664,19688112,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"B-202, Park Street, Andheri, Gujarat - 501205",ROC-AHMEDABAD
