CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
U61970MH2006PLC415652,VENTURES INDUSTRIES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,21/10/2006,48303415,3561400,Active,HUMAN HEALTH AND SOCIAL WORK,"D-404, MG Road, Adyar, Maharashtra - 444715",ROC-MUMBAI
U77127MH2008PLC576907,VENTURES CHEMICALS REALTY PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,23/10/2008,41342277,17459508,Strike Off,COMPUTER PROGRAMMING,"E-505, MG Road, Andheri, Maharashtra - 449112",ROC-MUMBAI
L96131MH2021PTC294974,GLOBAL LIMITED,Private,Company limited by guarantee,State Govt company,28/02/2021,6567485,11249316,Strike Off,MANUFACTURING (FOOD PRODUCTS),"C-303, Park Street, Satellite, Maharashtra - 448281",ROC-MUMBAI
U75978MH2005PTC978216,CONSTRUCTIONS TECH INDIA LIMITED,Private,Unlimited Company,State Govt company,08/12/2005,31388336,21340414,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Park Street, Satellite, Maharashtra - 458431",ROC-MUMBAI
L30474MH2017PLC824540,ENTERPRISES IMPORTS TEXTILES PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,25/04/2017,17815811,20524967,Strike Off,COMPUTER PROGRAMMING,"B-202, MG Road, Whitefield, Maharashtra - 468000",ROC-MUMBAI
L94285MH2016PLC581496,INDIA PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,01/03/2016,23149799,9482940,Amalgamated,INFORMATION SERVICE ACTIVITIES,"C-303, Brigade Road, Andheri, Maharashtra - 498325",ROC-MUMBAI
U20902MH2005PLC210887,PHARMA OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,23/05/2005,49272744,24895704,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"B-202, Brigade Road, Adyar, Maharashtra - 441281",ROC-MUMBAI
U84703MH2016OPC200652,CONSULTANCY PRIVATE LIMITED,Public,Company limited by shares,State Govt company,06/12/2016,14181136,11509235,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"C-303, MG Road, Whitefield, Maharashtra - 450701",ROC-MUMBAI
U67773MH2011PTC813886,EXPORTS OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,02/06/2011,25041561,6862733,Strike Off,CONSTRUCTION,"B-202, Anna Salai, Satellite, Maharashtra - 515298",ROC-MUMBAI
U12671MH2003PLC635378,IMPORTS LIMITED,One Person Company,Company limited by shares,Non-govt company,11/12/2003,28515538,1380542,Dissolved,COMPUTER PROGRAMMING,"C-303, Brigade Road, Satellite, Maharashtra - 501623",ROC-MUMBAI
U17993MH2015PTC889231,TECH LIMITED,Private,Company limited by shares,State Govt company,16/10/2015,5282438,7072101,Active,RETAIL TRADE,"A-101, Brigade Road, Whitefield, Maharashtra - 455063",ROC-MUMBAI
U42935MH2015PTC847248,TRADING PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,25/12/2015,20278459,19125660,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Brigade Road, Andheri, Maharashtra - 541384",ROC-MUMBAI
U55707MH2007PTC988545,GLOBAL TECH PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,07/08/2007,33240453,23987822,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Link Road, Whitefield, Maharashtra - 492225",ROC-MUMBAI
U81414MH2002PTC787866,CAPITAL OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,23/04/2002,49113317,23152082,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"A-101, Park Street, Whitefield, Maharashtra - 475360",ROC-MUMBAI
L92944MH2021PLC939759,TRADING FOODS LIMITED,One Person Company,Unlimited Company,Non-govt company,16/11/2021,45736263,23020320,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"E-505, MG Road, Whitefield, Maharashtra - 559111",ROC-MUMBAI
U54744MH2006PTC646304,VENTURES PRIVATE LIMITED,Public,Company limited by shares,State Govt company,18/07/2006,21704621,16332276,Amalgamated,MANUFACTURING (TEXTILES),"C-303, Park Street, Andheri, Maharashtra - 406147",ROC-MUMBAI
L63434MH2024PLC324798,IMPORTS PHARMA PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,12/01/2024,26818966,1345512,Strike Off,RETAIL TRADE,"A-101, Park Street, Borivali, Maharashtra - 450770",ROC-MUMBAI
L93344MH2012PLC947466,TEXTILES LIMITED,Public,Unlimited Company,State Govt company,25/10/2012,43743764,22611210,Active,MANUFACTURING (TEXTILES),"B-202, Link Road, Satellite, Maharashtra - 445023",ROC-MUMBAI
L66172MH2006PTC726585,PHARMA PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,29/11/2006,27442806,19487946,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"A-101, MG Road, Adyar, Maharashtra - 444544",ROC-MUMBAI
L26932MH2008OPC919254,CORPORATIONS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,09/04/2008,35886236,19781592,Under Liquidation,CONSTRUCTION,"A-101, Anna Salai, Andheri, Maharashtra - 541051",ROC-MUMBAI
U67784MH2018OPC725568,CORPORATIONS EDUCATION FINANCE LIMITED,Private,Company limited by shares,State Govt company,10/12/2018,30582415,6994106,Active,ACCOMMODATION AND FOOD SERVICE,"B-202, Park Street, Satellite, Maharashtra - 444343",ROC-MUMBAI
L72760MH2021PLC538140,EDUCATION TECH EXPORTS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,01/08/2021,2534585,17079349,Active,RETAIL TRADE,"E-505, Anna Salai, Adyar, Maharashtra - 440610",ROC-MUMBAI
L56349MH2009PLC889201,SERVICES CONSULTANCY CORPORATIONS LIMITED,Public,Company limited by guarantee,State Govt company,29/08/2009,29052234,21195620,Under Liquidation,MANUFACTURING (TEXTILES),"B-202, Anna Salai, Borivali, Maharashtra - 421950",ROC-MUMBAI
U11994MH2009PLC926935,CONSULTANCY SYSTEMS GLOBAL OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,14/06/2009,31343092,2010086,Active,REAL ESTATE ACTIVITIES,"A-101, Brigade Road, Satellite, Maharashtra - 407285",ROC-MUMBAI
U48271MH2020PLC553436,MANUFACTURING SYSTEMS TECHNOLOGIES PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,30/01/2020,22651551,4646101,Strike Off,ACCOMMODATION AND FOOD SERVICE,"C-303, MG Road, Satellite, Maharashtra - 450482",ROC-MUMBAI
L70560MH2010PLC925686,REALTY PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,21/05/2010,6149012,21018254,Amalgamated,MANUFACTURING (CHEMICALS),"D-404, Anna Salai, Andheri, Maharashtra - 555985",ROC-MUMBAI
L27550MH2005OPC448799,INDIA OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,25/09/2005,25305772,13170795,Active,FINANCIAL SERVICE ACTIVITIES,"D-404, Link Road, Adyar, Maharashtra - 453139",ROC-MUMBAI
U78706MH2004OPC251832,HEALTHCARE REALTY OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,16/01/2004,2098708,1953101,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Brigade Road, Borivali, Maharashtra - 555001",ROC-MUMBAI
L11702MH2012OPC176544,INNOVATIONS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,15/11/2012,22536618,245792,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Link Road, Whitefield, Maharashtra - 506562",ROC-MUMBAI
U62767MH2019PTC322253,MANUFACTURING CAPITAL PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,18/10/2019,35376591,17822887,Active,CONSTRUCTION,"B-202, Link Road, Borivali, Maharashtra - 442955",ROC-MUMBAI
L55184MH2020PTC952885,FOODS LIMITED,One Person Company,Company limited by shares,State Govt company,30/09/2020,14060786,17667891,Dissolved,FINANCIAL SERVICE ACTIVITIES,"B-202, MG Road, Borivali, Maharashtra - 549695",ROC-MUMBAI
U94438MH2016PTC113931,EXPORTS SERVICES PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,10/04/2016,15703497,14384751,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"B-202, MG Road, Andheri, Maharashtra - 553993",ROC-MUMBAI
L79536MH2016PLC144071,FINANCE OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,17/12/2016,29824328,9547367,Active,MANUFACTURING (TEXTILES),"C-303, Park Street, Whitefield, Maharashtra - 459341",ROC-MUMBAI
L10208MH2010PTC557688,INNOVATIONS EXPORTS FOODS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,10/01/2010,3619297,16256648,Active,COMPUTER PROGRAMMING,"D-404, Brigade Road, Andheri, Maharashtra - 432307",ROC-MUMBAI
U23512MH2001PTC404685,EXPORTS CORPORATIONS FOODS PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,02/06/2001,23599933,16420056,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"D-404, Park Street, Satellite, Maharashtra - 495906",ROC-MUMBAI
U81599MH2000OPC340789,GLOBAL TEXTILES OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,10/11/2000,11756286,13592996,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Anna Salai, Adyar, Maharashtra - 446242",ROC-MUMBAI
U22507MH2014PLC362016,EXPORTS PRIVATE LIMITED,Private,Unlimited Company,State Govt company,02/11/2014,7057329,12049316,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"D-404, Brigade Road, Andheri, Maharashtra - 463586",ROC-MUMBAI
U33414MH2022PLC961947,REALTY TRADING INDUSTRIES OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,01/04/2022,23409115,21419860,Amalgamated,CONSTRUCTION,"C-303, Anna Salai, Satellite, Maharashtra - 545369",ROC-MUMBAI
L39136MH2019OPC290004,EDUCATION INDIA HEALTHCARE OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,29/09/2019,13845065,15144281,Active,RETAIL TRADE,"D-404, Anna Salai, Whitefield, Maharashtra - 494765",ROC-MUMBAI
U99140MH2012PTC995813,DEVELOPERS OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,20/06/2012,19560831,8066480,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"E-505, MG Road, Whitefield, Maharashtra - 409147",ROC-MUMBAI
L93842MH2019PLC101444,SERVICES OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,02/08/2019,33919033,17630066,Dissolved,FINANCIAL SERVICE ACTIVITIES,"B-202, Anna Salai, Andheri, Maharashtra - 444288",ROC-MUMBAI
U60093MH2003PTC738332,SOLUTIONS SYSTEMS OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,22/12/2003,38183376,12067092,Under Liquidation,HUMAN HEALTH AND SOCIAL WORK,"A-101, Brigade Road, Satellite, Maharashtra - 525106",ROC-MUMBAI
L59124MH2024PLC445221,CHEMICALS FOODS MANUFACTURING OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,04/10/2024,45079288,22116386,Active,EDUCATION,"E-505, Brigade Road, Adyar, Maharashtra - 493746",ROC-MUMBAI
U58733MH2003OPC404303,DEVELOPERS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,16/04/2003,47698470,24479403,Amalgamated,WHOLESALE TRADE,"B-202, Link Road, Satellite, Maharashtra - 461452",ROC-MUMBAI
L56605MH2002PLC591613,ENTERPRISES SERVICES CORPORATIONS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,04/08/2002,34044886,3294338,Amalgamated,CONSTRUCTION,"C-303, Brigade Road, Borivali, Maharashtra - 515200",ROC-MUMBAI
L15389MH2016OPC398695,TECH INVESTMENTS LIMITED,Private,Company limited by shares,Non-govt company,09/09/2016,49776382,23511368,Amalgamated,MANUFACTURING (TEXTILES),"A-101, MG Road, Whitefield, Maharashtra - 462647",ROC-MUMBAI
L90357MH2004PLC372533,CONSTRUCTIONS CONSULTANCY FOODS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,07/10/2004,37212823,23378699,Strike Off,MANUFACTURING (CHEMICALS),"B-202, Park Street, Satellite, Maharashtra - 521258",ROC-MUMBAI
U67540MH2000OPC443609,DEVELOPERS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,22/08/2000,34835125,17265523,Active,HUMAN HEALTH AND SOCIAL WORK,"C-303, Brigade Road, Whitefield, Maharashtra - 538709",ROC-MUMBAI
L84372MH2002PLC736833,FINANCE TECH VENTURES OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,23/05/2002,16009104,9762282,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"C-303, Park Street, Whitefield, Maharashtra - 456158",ROC-MUMBAI
L47242MH2011PTC510924,TECH PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,23/05/2011,2453983,21352902,Amalgamated,MANUFACTURING (TEXTILES),"C-303, Link Road, Andheri, Maharashtra - 485311",ROC-MUMBAI
L64871MH2012PLC281106,SYSTEMS INVESTMENTS MANUFACTURING OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,06/03/2012,8503575,17989499,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Brigade Road, Borivali, Maharashtra - 423137",ROC-MUMBAI
U67636MH2011PLC971845,TEXTILES CHEMICALS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,30/11/2011,489915,16471512,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"B-202, Brigade Road, Adyar, Maharashtra - 548639",ROC-MUMBAI
U51426MH2017OPC771701,CAPITAL PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,09/05/2017,33595882,7541099,Active,CONSTRUCTION,"E-505, Park Street, Satellite, Maharashtra - 535106",ROC-MUMBAI
U94652MH2010PLC608839,GLOBAL TECHNOLOGIES PRIVATE LIMITED,Public,Unlimited Company,State Govt company,13/11/2010,32837969,2736779,Amalgamated,INFORMATION SERVICE ACTIVITIES,"A-101, Park Street, Whitefield, Maharashtra - 537957",ROC-MUMBAI
L13151MH2001PTC143221,FINANCE TECH OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,10/04/2001,15675025,15687880,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Link Road, Adyar, Maharashtra - 528892",ROC-MUMBAI
L83737MH2008PTC948080,TECH EDUCATION PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,19/04/2008,349150,23357406,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"C-303, Link Road, Satellite, Maharashtra - 499102",ROC-MUMBAI
L62068MH2011OPC349204,CORPORATIONS INNOVATIONS PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,22/02/2011,2486226,24551140,Under Liquidation,REAL ESTATE ACTIVITIES,"E-505, Anna Salai, Borivali, Maharashtra - 512880",ROC-MUMBAI
U20233MH2011PLC281616,TECH CORPORATIONS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,13/02/2011,34487214,8917240,Under Liquidation,CONSTRUCTION,"A-101, MG Road, Adyar, Maharashtra - 440926",ROC-MUMBAI
U54955MH2020OPC404338,GLOBAL SERVICES CAPITAL PRIVATE LIMITED,Private,Company limited by shares,State Govt company,02/03/2020,46937959,19949481,Amalgamated,EDUCATION,"C-303, Link Road, Satellite, Maharashtra - 420801",ROC-MUMBAI
L27278MH2001OPC537917,REALTY CHEMICALS EXPORTS OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,08/11/2001,40528662,24233378,Active,MANUFACTURING (TEXTILES),"D-404, Park Street, Adyar, Maharashtra - 483085",ROC-MUMBAI
L86885MH2017OPC132828,DEVELOPERS SOLUTIONS INVESTMENTS LIMITED,Public,Company limited by guarantee,Non-govt company,11/12/2017,25031182,19057436,Dissolved,CONSTRUCTION,"B-202, Link Road, Adyar, Maharashtra - 434970",ROC-MUMBAI
U62184MH2023OPC382867,EDUCATION HEALTHCARE ENTERPRISES OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,28/08/2023,42094190,7290900,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"E-505, Anna Salai, Adyar, Maharashtra - 416084",ROC-MUMBAI
U57015MH2014PTC190714,INVESTMENTS VENTURES LIMITED,One Person Company,Company limited by shares,State Govt company,13/03/2014,28900894,24292035,Active,MANUFACTURING (CHEMICALS),"D-404, Park Street, Borivali, Maharashtra - 435404",ROC-MUMBAI
L79933MH2022PLC248294,CAPITAL DEVELOPERS EXPORTS PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,03/08/2022,10694839,9108690,Active,RETAIL TRADE,"E-505, Anna Salai, Whitefield, Maharashtra - 492209",ROC-MUMBAI
L82704MH2022PTC989844,SYSTEMS IMPORTS VENTURES LIMITED,Public,Company limited by shares,Non-govt company,01/02/2022,27992049,18019506,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Link Road, Andheri, Maharashtra - 534171",ROC-MUMBAI
L28116MH2003OPC380036,CONSULTANCY INDIA DEVELOPERS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,27/08/2003,17089219,19592504,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"A-101, MG Road, Adyar, Maharashtra - 474066",ROC-MUMBAI
L42023MH2019OPC330345,SYSTEMS TRADING OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,15/06/2019,19382276,7126167,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Anna Salai, Whitefield, Maharashtra - 414808",ROC-MUMBAI
U22344MH2019PTC563746,MANUFACTURING LIMITED,Public,Unlimited Company,Non-govt company,08/08/2019,31860800,4035166,Under Liquidation,CONSTRUCTION,"A-101, Link Road, Adyar, Maharashtra - 543589",ROC-MUMBAI
U35072MH2020PTC416690,MANUFACTURING REALTY TEXTILES PRIVATE LIMITED,Public,Company limited by shares,State Govt company,18/03/2020,6459517,1157007,Amalgamated,COMPUTER PROGRAMMING,"A-101, Link Road, Andheri, Maharashtra - 452993",ROC-MUMBAI
U34075MH2001PLC414746,SYSTEMS LIMITED,Private,Unlimited Company,Non-govt company,28/03/2001,37129256,10752890,Active,REAL ESTATE ACTIVITIES,"C-303, Anna Salai, Whitefield, Maharashtra - 519019",ROC-MUMBAI
U24026MH2006PLC310784,CONSTRUCTIONS INVESTMENTS LIMITED,Public,Unlimited Company,Non-govt company,11/03/2006,15554053,22839358,Active,EDUCATION,"D-404, MG Road, Borivali, Maharashtra - 547296",ROC-MUMBAI
U61520MH2016PTC213172,TECHNOLOGIES LIMITED,Public,Company limited by shares,Non-govt company,09/06/2016,43156304,4421769,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"B-202, Brigade Road, Adyar, Maharashtra - 547269",ROC-MUMBAI
U18513MH2001PTC245411,TRADING PHARMA OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,01/09/2001,8633994,1263704,Dissolved,FINANCIAL SERVICE ACTIVITIES,"D-404, Link Road, Whitefield, Maharashtra - 430088",ROC-MUMBAI
U22517MH2011PLC666727,ENTERPRISES TECHNOLOGIES LIMITED,Public,Company limited by shares,State Govt company,31/01/2011,40475323,20255691,Active,EDUCATION,"C-303, MG Road, Whitefield, Maharashtra - 456546",ROC-MUMBAI
U18469MH2008PLC122313,FINANCE LIMITED,Public,Company limited by shares,Non-govt company,08/03/2008,20849284,6224175,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Brigade Road, Satellite, Maharashtra - 405510",ROC-MUMBAI
