ROC_CODE,CIN,PRINCIPAL_BUSINESS_ACTIVITY,STATE,COMPANY_SUB_CATEGORY,AUTHORIZED_CAPITAL,COMPANY_NAME,REGISTERED_OFFICE_ADDRESS,PAIDUP_CAPITAL,COMPANY_CATEGORY,DATE_OF_INCORPORATION,COMPANY_CLASS,COMPANY_STATUS,DATA_QUALITY_SCORE,LAST_UPDATED,RECORD_ID,INTEGRATION_DATE,SOURCE
ROC-MUMBAI,U61970MH2006PLC415652,HUMAN HEALTH AND SOCIAL WORK,Maharashtra,Non-govt company,48303415.0,VENTURES INDUSTRIES OPC PRIVATE LIMITED,"D-404, MG Road, Adyar, Maharashtra - 444715",3561400.0,Company limited by shares,2006-10-21,One Person Company,ACTIVE,1.0,2025-10-19 09:59:14.937659,2d1f163822,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U77127MH2008PLC576907,COMPUTER PROGRAMMING,Maharashtra,Non-govt company,41342277.0,VENTURES CHEMICALS REALTY PRIVATE LIMITED,"E-505, MG Road, Andheri, Maharashtra - 449112",17459508.0,Company limited by guarantee,2008-10-23,One Person Company,STRIKE OFF,1.0,2025-10-19 09:59:14.937659,1d631b981a,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L96131MH2021PTC294974,MANUFACTURING (FOOD PRODUCTS),Maharashtra,State Govt company,6567485.0,GLOBAL LIMITED,"C-303, Park Street, Satellite, Maharashtra - 448281",11249316.0,Company limited by guarantee,2021-02-28,Private,STRIKE OFF,1.0,2025-10-19 09:59:14.937659,4f2c0777d8,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U75978MH2005PTC978216,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Maharashtra,State Govt company,31388336.0,CONSTRUCTIONS TECH INDIA LIMITED,"B-202, Park Street, Satellite, Maharashtra - 458431",21340414.0,Unlimited Company,2005-12-08,Private,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,e6344158f6,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L30474MH2017PLC824540,COMPUTER PROGRAMMING,Maharashtra,Non-govt company,17815811.0,ENTERPRISES IMPORTS TEXTILES PRIVATE LIMITED,"B-202, MG Road, Whitefield, Maharashtra - 468000",20524967.0,Unlimited Company,2017-04-25,Public,STRIKE OFF,1.0,2025-10-19 09:59:14.937659,8f5bd55ea0,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L94285MH2016PLC581496,INFORMATION SERVICE ACTIVITIES,Maharashtra,Non-govt company,23149799.0,INDIA PRIVATE LIMITED,"C-303, Brigade Road, Andheri, Maharashtra - 498325",9482940.0,Company limited by shares,2016-03-01,Private,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,0d5f5aa688,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U20902MH2005PLC210887,ACCOMMODATION AND FOOD SERVICE,Maharashtra,Non-govt company,49272744.0,PHARMA OPC PRIVATE LIMITED,"B-202, Brigade Road, Adyar, Maharashtra - 441281",24895704.0,Company limited by shares,2005-05-23,Private,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,da094655c2,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U84703MH2016OPC200652,ACCOMMODATION AND FOOD SERVICE,Maharashtra,State Govt company,14181136.0,CONSULTANCY PRIVATE LIMITED,"C-303, MG Road, Whitefield, Maharashtra - 450701",11509235.0,Company limited by shares,2016-12-06,Public,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,8dae9be26a,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U67773MH2011PTC813886,CONSTRUCTION,Maharashtra,Non-govt company,25041561.0,EXPORTS OPC PRIVATE LIMITED,"B-202, Anna Salai, Satellite, Maharashtra - 515298",6862733.0,Company limited by shares,2011-06-02,Public,STRIKE OFF,1.0,2025-10-19 09:59:14.937659,4fe8da9044,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U12671MH2003PLC635378,COMPUTER PROGRAMMING,Maharashtra,Non-govt company,28515538.0,IMPORTS LIMITED,"C-303, Brigade Road, Satellite, Maharashtra - 501623",1380542.0,Company limited by shares,2003-12-11,One Person Company,DISSOLVED,1.0,2025-10-19 09:59:14.937659,f4fe1fa162,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U17993MH2015PTC889231,RETAIL TRADE,Maharashtra,State Govt company,5282438.0,TECH LIMITED,"A-101, Brigade Road, Whitefield, Maharashtra - 455063",7072101.0,Company limited by shares,2015-10-16,Private,ACTIVE,1.0,2025-10-19 09:59:14.937659,f6af3db971,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U42935MH2015PTC847248,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Maharashtra,Non-govt company,20278459.0,TRADING PRIVATE LIMITED,"D-404, Brigade Road, Andheri, Maharashtra - 541384",19125660.0,Company limited by guarantee,2015-12-25,One Person Company,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,2a28683c5d,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U55707MH2007PTC988545,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",Maharashtra,Non-govt company,33240453.0,GLOBAL TECH PRIVATE LIMITED,"C-303, Link Road, Whitefield, Maharashtra - 492225",23987822.0,Company limited by shares,2007-08-07,Private,DISSOLVED,1.0,2025-10-19 09:59:14.937659,e07f57efc4,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U81414MH2002PTC787866,MANUFACTURING (FOOD PRODUCTS),Maharashtra,State Govt company,49113317.0,CAPITAL OPC PRIVATE LIMITED,"A-101, Park Street, Whitefield, Maharashtra - 475360",23152082.0,Company limited by guarantee,2002-04-23,Private,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,07ffd83bae,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L92944MH2021PLC939759,MANUFACTURING (FOOD PRODUCTS),Maharashtra,Non-govt company,45736263.0,TRADING FOODS LIMITED,"E-505, MG Road, Whitefield, Maharashtra - 559111",23020320.0,Unlimited Company,2021-11-16,One Person Company,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,324e31f691,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U54744MH2006PTC646304,MANUFACTURING (TEXTILES),Maharashtra,State Govt company,21704621.0,VENTURES PRIVATE LIMITED,"C-303, Park Street, Andheri, Maharashtra - 406147",16332276.0,Company limited by shares,2006-07-18,Public,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,4510ea31a7,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L63434MH2024PLC324798,RETAIL TRADE,Maharashtra,Non-govt company,26818966.0,IMPORTS PHARMA PRIVATE LIMITED,"A-101, Park Street, Borivali, Maharashtra - 450770",1345512.0,Company limited by shares,2024-01-12,Public,STRIKE OFF,1.0,2025-10-19 09:59:14.937659,ed84e980e3,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L93344MH2012PLC947466,MANUFACTURING (TEXTILES),Maharashtra,State Govt company,43743764.0,TEXTILES LIMITED,"B-202, Link Road, Satellite, Maharashtra - 445023",22611210.0,Unlimited Company,2012-10-25,Public,ACTIVE,1.0,2025-10-19 09:59:14.937659,8f939c8fcf,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L66172MH2006PTC726585,MANUFACTURING (FOOD PRODUCTS),Maharashtra,Non-govt company,27442806.0,PHARMA PRIVATE LIMITED,"A-101, MG Road, Adyar, Maharashtra - 444544",19487946.0,Company limited by shares,2006-11-29,Private,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,06c1fcddc2,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L26932MH2008OPC919254,CONSTRUCTION,Maharashtra,State Govt company,35886236.0,CORPORATIONS OPC PRIVATE LIMITED,"A-101, Anna Salai, Andheri, Maharashtra - 541051",19781592.0,Unlimited Company,2008-04-09,One Person Company,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,ba7ea3db8c,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U67784MH2018OPC725568,ACCOMMODATION AND FOOD SERVICE,Maharashtra,State Govt company,30582415.0,CORPORATIONS EDUCATION FINANCE LIMITED,"B-202, Park Street, Satellite, Maharashtra - 444343",6994106.0,Company limited by shares,2018-12-10,Private,ACTIVE,1.0,2025-10-19 09:59:14.937659,c3662b0304,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L72760MH2021PLC538140,RETAIL TRADE,Maharashtra,State Govt company,2534585.0,EDUCATION TECH EXPORTS OPC PRIVATE LIMITED,"E-505, Anna Salai, Adyar, Maharashtra - 440610",17079349.0,Company limited by shares,2021-08-01,One Person Company,ACTIVE,1.0,2025-10-19 09:59:14.937659,d952f2f5d5,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L56349MH2009PLC889201,MANUFACTURING (TEXTILES),Maharashtra,State Govt company,29052234.0,SERVICES CONSULTANCY CORPORATIONS LIMITED,"B-202, Anna Salai, Borivali, Maharashtra - 421950",21195620.0,Company limited by guarantee,2009-08-29,Public,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,f63d20a193,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U11994MH2009PLC926935,REAL ESTATE ACTIVITIES,Maharashtra,State Govt company,31343092.0,CONSULTANCY SYSTEMS GLOBAL OPC PRIVATE LIMITED,"A-101, Brigade Road, Satellite, Maharashtra - 407285",2010086.0,Company limited by shares,2009-06-14,Private,ACTIVE,1.0,2025-10-19 09:59:14.937659,0c07d63386,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U48271MH2020PLC553436,ACCOMMODATION AND FOOD SERVICE,Maharashtra,Non-govt company,22651551.0,MANUFACTURING SYSTEMS TECHNOLOGIES PRIVATE LIMITED,"C-303, MG Road, Satellite, Maharashtra - 450482",4646101.0,Company limited by shares,2020-01-30,Private,STRIKE OFF,1.0,2025-10-19 09:59:14.937659,3c2f092662,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L70560MH2010PLC925686,MANUFACTURING (CHEMICALS),Maharashtra,Non-govt company,6149012.0,REALTY PRIVATE LIMITED,"D-404, Anna Salai, Andheri, Maharashtra - 555985",21018254.0,Company limited by shares,2010-05-21,Private,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,c25e03243d,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L27550MH2005OPC448799,FINANCIAL SERVICE ACTIVITIES,Maharashtra,Non-govt company,25305772.0,INDIA OPC PRIVATE LIMITED,"D-404, Link Road, Adyar, Maharashtra - 453139",13170795.0,Unlimited Company,2005-09-25,Public,ACTIVE,1.0,2025-10-19 09:59:14.937659,c9b39190d5,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U78706MH2004OPC251832,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Maharashtra,Non-govt company,2098708.0,HEALTHCARE REALTY OPC PRIVATE LIMITED,"C-303, Brigade Road, Borivali, Maharashtra - 555001",1953101.0,Company limited by guarantee,2004-01-16,Private,STRIKE OFF,1.0,2025-10-19 09:59:14.937659,84f265c40b,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L11702MH2012OPC176544,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",Maharashtra,Non-govt company,22536618.0,INNOVATIONS OPC PRIVATE LIMITED,"D-404, Link Road, Whitefield, Maharashtra - 506562",245792.0,Unlimited Company,2012-11-15,One Person Company,ACTIVE,1.0,2025-10-19 09:59:14.937659,ffc97f56b0,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U62767MH2019PTC322253,CONSTRUCTION,Maharashtra,State Govt company,35376591.0,MANUFACTURING CAPITAL PRIVATE LIMITED,"B-202, Link Road, Borivali, Maharashtra - 442955",17822887.0,Unlimited Company,2019-10-18,One Person Company,ACTIVE,1.0,2025-10-19 09:59:14.937659,c0cb1d0101,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L55184MH2020PTC952885,FINANCIAL SERVICE ACTIVITIES,Maharashtra,State Govt company,14060786.0,FOODS LIMITED,"B-202, MG Road, Borivali, Maharashtra - 549695",17667891.0,Company limited by shares,2020-09-30,One Person Company,DISSOLVED,1.0,2025-10-19 09:59:14.937659,bc9d1ad238,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U94438MH2016PTC113931,FINANCIAL SERVICE ACTIVITIES,Maharashtra,State Govt company,15703497.0,EXPORTS SERVICES PRIVATE LIMITED,"B-202, MG Road, Andheri, Maharashtra - 553993",14384751.0,Company limited by guarantee,2016-04-10,Private,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,53b3b62a5b,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L79536MH2016PLC144071,MANUFACTURING (TEXTILES),Maharashtra,Non-govt company,29824328.0,FINANCE OPC PRIVATE LIMITED,"C-303, Park Street, Whitefield, Maharashtra - 459341",9547367.0,Company limited by shares,2016-12-17,Private,ACTIVE,1.0,2025-10-19 09:59:14.937659,e689203af8,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L10208MH2010PTC557688,COMPUTER PROGRAMMING,Maharashtra,State Govt company,3619297.0,INNOVATIONS EXPORTS FOODS PRIVATE LIMITED,"D-404, Brigade Road, Andheri, Maharashtra - 432307",16256648.0,Company limited by guarantee,2010-01-10,One Person Company,ACTIVE,1.0,2025-10-19 09:59:14.937659,2cfc05c69f,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U23512MH2001PTC404685,FINANCIAL SERVICE ACTIVITIES,Maharashtra,State Govt company,23599933.0,EXPORTS CORPORATIONS FOODS PRIVATE LIMITED,"D-404, Park Street, Satellite, Maharashtra - 495906",16420056.0,Company limited by shares,2001-06-02,One Person Company,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,38723e5194,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U81599MH2000OPC340789,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",Maharashtra,State Govt company,11756286.0,GLOBAL TEXTILES OPC PRIVATE LIMITED,"E-505, Anna Salai, Adyar, Maharashtra - 446242",13592996.0,Company limited by guarantee,2000-11-10,Public,STRIKE OFF,1.0,2025-10-19 09:59:14.937659,a16cea323b,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U22507MH2014PLC362016,ACCOMMODATION AND FOOD SERVICE,Maharashtra,State Govt company,7057329.0,EXPORTS PRIVATE LIMITED,"D-404, Brigade Road, Andheri, Maharashtra - 463586",12049316.0,Unlimited Company,2014-11-02,Private,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,a11d3892fa,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U33414MH2022PLC961947,CONSTRUCTION,Maharashtra,Non-govt company,23409115.0,REALTY TRADING INDUSTRIES OPC PRIVATE LIMITED,"C-303, Anna Salai, Satellite, Maharashtra - 545369",21419860.0,Company limited by guarantee,2022-04-01,Private,AMALGAMATED,1.0,2025-10-19 09:59:14.937659,76d9e6f4c2,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L39136MH2019OPC290004,RETAIL TRADE,Maharashtra,State Govt company,13845065.0,EDUCATION INDIA HEALTHCARE OPC PRIVATE LIMITED,"D-404, Anna Salai, Whitefield, Maharashtra - 494765",15144281.0,Company limited by shares,2019-09-29,Private,ACTIVE,1.0,2025-10-19 09:59:14.937659,f376109766,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,U99140MH2012PTC995813,ACCOMMODATION AND FOOD SERVICE,Maharashtra,State Govt company,19560831.0,DEVELOPERS OPC PRIVATE LIMITED,"E-505, MG Road, Whitefield, Maharashtra - 409147",8066480.0,Company limited by shares,2012-06-20,Public,UNDER LIQUIDATION,1.0,2025-10-19 09:59:14.937659,b853ab8ee2,2025-10-19 09:59:15.005901,MCA_MASTER
ROC-MUMBAI,L93842MH2019PLC101444,FINANCIAL SERVICE ACTIVITIES,Maharashtra,State Govt company,33919033.0,SERVICES OPC PRIVATE LIMITED,"B-202, Anna Salai, Andheri, Maharashtra - 444288",17630066.0,Unlimited Company,2019-08-02,Private,DISSOLVED,1.0,2025-10-19 09:59:14.937659,6d592abfe8,2025-10-19 09:59:15.005901,MCA_MASTER
